cScore,merged_col
low,"200 Sq-yrd Residential Plot is available for Rent in Fatehabad Road, Agra for 30,000 200 Sq-yrd Residential Plot is available for Rent in Fatehabad Road, Agra for 30,000"
low,"180 Sq-yrd Residential Plot is available for Rent in Bichpuri, Agra for 15,000 180 Sq-yrd Residential Plot is available for Rent in Bichpuri, Agra for 15,000"
medium,"good location 7218 Sq-yrd Residential Plot is available for Rent in Aslali, Ahmedabad for 54,500"
medium,"Electric power available, water facilities available,40 ft. R.c.c road connect directly NH8 90000 Sq-ft Residential Plot is available for Rent in , Ahmedabad for 9.0 Lac(s)"
medium,"A residential plot is available for rent. It has a plot area of 600 sq-ft, it is located in a very g 6000 Sq-ft Residential Plot is available for Rent in Shantipuram, Allahabad for 80,000"
low,"1 Biswa1 Residential Plot is available for Rent in Jhusi, Allahabad for 10,000 1 Biswa1 Residential Plot is available for Rent in Jhusi, Allahabad for 10,000"
medium,"2 years EMI available without any jnte2 900 Sq-ft Residential Plot is available for Rent in Gauhania, Allahabad for 19,500"
low,"200 Sq-yrd Residential Plot is available for Rent in Jhusi, Allahabad for 25,000 200 Sq-yrd Residential Plot is available for Rent in Jhusi, Allahabad for 25,000"
low,"1800 Sq-ft Residential Plot is available for Rent in Gopalpur, Asansol  1800 Sq-ft Residential Plot is available for Rent in Gopalpur, Asansol "
low,"2000 Sq-ft Residential Plot is available for Rent in Seegehalli, Bangalore for 40,000 2000 Sq-ft Residential Plot is available for Rent in Seegehalli, Bangalore for 40,000"
medium,"1500 Sq-yrd Residential Plot is available for Rent in Vaderamanchana Halli, Bangalore for 48.0 Lac(s 1500 Sq-yrd Residential Plot is available for Rent in Vaderamanchana Halli, Bangalore for 48.0 Lac(s)"
medium,"30 Bigha Residential Plot is available for Rent in Malleshwaram, Bangalore for 5,000 30 Bigha Residential Plot is available for Rent in Malleshwaram, Bangalore for 5,000"
medium,"1200 Sq-ft Residential Plot is available for Rent in Kaggalipura, Bangalore for 32.40 Lac(s) 1200 Sq-ft Residential Plot is available for Rent in Kaggalipura, Bangalore for 32.40 Lac(s)"
medium,"all side compounded area fully gated best for built area 50000 Sq-ft Residential Plot is available for Rent in Anekal, Bangalore for 2.50 Lac(s)"
medium,"1200 Sq-ft Residential Plot is available for Rent in Sarjapura, Bangalore for 4.2 Crore(s) 1200 Sq-ft Residential Plot is available for Rent in Sarjapura, Bangalore for 4.2 Crore(s)"
medium,"Easy access from Channasandra main road opposite to MVJ engineering college, Near Whitefield. 6700 Sq-ft Residential Plot is available for Rent in Channasandra, Bangalore for 4.0 Lac(s)"
low,"5000 Sq-ft Residential Plot is available for Rent in Garvebhavi Palya, Bangalore for 2.0 Lac(s) 5000 Sq-ft Residential Plot is available for Rent in Garvebhavi Palya, Bangalore for 2.0 Lac(s)"
medium,"this land is having two side  lake view and good for school or nursing institute.  land is available 15000 Sq-ft Residential Plot is available for Rent in Kengeri, Bangalore for 1.0 Lac(s)"
medium,"1500 Sq-ft Residential Plot is available for Rent in Andrahalli Main Road, Bangalore for 24,000 1500 Sq-ft Residential Plot is available for Rent in Andrahalli Main Road, Bangalore for 24,000"
low,"5000 Sq-yrd Residential Plot is available for Rent in , Bangalore for 50,000 5000 Sq-yrd Residential Plot is available for Rent in , Bangalore for 50,000"
medium,"13555 Sq-ft Residential Plot is available for Rent in Karihobanahalli, Bangalore for 1.0 Lac(s) 13555 Sq-ft Residential Plot is available for Rent in Karihobanahalli, Bangalore for 1.0 Lac(s)"
medium,"4 Acre Residential Plot is available for Rent in Mahatma Gandhi Road, Bangalore for 10,000 4 Acre Residential Plot is available for Rent in Mahatma Gandhi Road, Bangalore for 10,000"
medium,"itsuitable for  commercial purposes and iton sarjapura chandapura main road 7000 Sq-ft Residential Plot is available for Rent in Sarjapur Road, Bangalore for 1.20 Lac(s)"
low,"2400 Sq-ft Residential Plot is available for Rent in Naagarabhaavi, Bangalore for 60,000 2400 Sq-ft Residential Plot is available for Rent in Naagarabhaavi, Bangalore for 60,000"
low,"600 Sq-ft Residential Plot is available for Rent in Block 6th Anjanapura, Bangalore for 60,000 600 Sq-ft Residential Plot is available for Rent in Block 6th Anjanapura, Bangalore for 60,000"
medium,"Residential plot is available for rent. It has a plot area of 1200 sq-yrd, it is a good location pro 1200 Sq-yrd Residential Plot is available for Rent in Domlur, Bangalore for 1.0 Lac(s)"
medium,"1250 Sq-yrd Residential Plot is available for Rent in Doddabidarakallu, Bangalore for 8,500 1250 Sq-yrd Residential Plot is available for Rent in Doddabidarakallu, Bangalore for 8,500"
medium,"800 Sq-ft Residential Plot is available for Rent in Abbigere, Bangalore for 9,500 800 Sq-ft Residential Plot is available for Rent in Abbigere, Bangalore for 9,500"
medium,"Looking for versatility in a rental property? This BBMP Approved Residential Plot in Siddapur, Banga 2400 Sq-ft Residential Plot is available for Rent in Siddapura Whitefield, Bangalore for 95,000"
medium,"600 Sq-ft Residential Plot is available for Rent in Kachohalli, Bangalore for 10.50 Lac(s) 600 Sq-ft Residential Plot is available for Rent in Kachohalli, Bangalore for 10.50 Lac(s)"
medium,"All amenities functional, walkable distance to Metro station,Bangalore south ISCKON 1520 Sq-ft Residential Plot is available for Rent in Kanakapura Road, Bangalore for 45,000"
medium,"5000 Sq-ft Residential Plot is available for Rent in Attibele, Bangalore for 1.0 Lac(s) 5000 Sq-ft Residential Plot is available for Rent in Attibele, Bangalore for 1.0 Lac(s)"
medium,"Near NLSIU, Bangalore University, Nagarbhavi Circle 4406 Sq-ft Residential Plot is available for Rent in Chandra Layout, Bangalore for 1.10 Lac(s)"
low,"2400 Sq-ft Residential Plot is available for Rent in Armane Nagar, Bangalore for 70,000 2400 Sq-ft Residential Plot is available for Rent in Armane Nagar, Bangalore for 70,000"
low,"15000 Sq-ft Residential Plot is available for Rent in Byagadadhenahalli, Bangalore for 1.50 Lac(s) 15000 Sq-ft Residential Plot is available for Rent in Byagadadhenahalli, Bangalore for 1.50 Lac(s)"
low,"43560 Sq-ft Residential Plot is available for Rent in Devanahalli, Bangalore for 5.0 Lac(s) 43560 Sq-ft Residential Plot is available for Rent in Devanahalli, Bangalore for 5.0 Lac(s)"
medium,"18 Guntha Residential Plot is available for Rent in Yerappanahalli, Bangalore for 2.50 Lac(s) 18 Guntha Residential Plot is available for Rent in Yerappanahalli, Bangalore for 2.50 Lac(s)"
low,"38000 Sq-ft Residential Plot is available for Rent in kathreguppe, Bangalore for 5.0 Lac(s) 38000 Sq-ft Residential Plot is available for Rent in kathreguppe, Bangalore for 5.0 Lac(s)"
low,"1350 Sq-ft Residential Plot is available for Rent in AECS Layout Marathahalli, Bangalore for 40,000 1350 Sq-ft Residential Plot is available for Rent in AECS Layout Marathahalli, Bangalore for 40,000"
low,"2 Bigha Residential Plot is available for Rent in Lal Fatak Road, Bareilly for 15,000 2 Bigha Residential Plot is available for Rent in Lal Fatak Road, Bareilly for 15,000"
medium,"Residential plot is available for rent. It has a plot area of 1025 sq-ft, it is a good location prop 1025 Sq-ft Residential Plot is available for Rent in Mandoli Road, Belgaum for 8,000"
medium,"500 Sq-ft Residential Plot is available for Rent in , Belgaum for 13,000 500 Sq-ft Residential Plot is available for Rent in , Belgaum for 13,000"
medium,"all documents are cleared,Ror clear plot front sh road 26 13000 Sq-ft Residential Plot is available for Rent in , Berhampur for 30,000"
medium,"30000 Sq-ft Residential Plot is available for Rent in Khordha, Bhubaneswar for 50,000 30000 Sq-ft Residential Plot is available for Rent in Khordha, Bhubaneswar for 50,000"
medium,"Residential plot is available for rent. It is a good location property. Please contact for more deta 2500 Sq-ft Residential Plot is available for Rent in Hans Pal, Bhubaneswar for 20,000"
low,"1500 Sq-yrd Residential Plot is available for Rent in Gadakana, Bhubaneswar for 16,000 1500 Sq-yrd Residential Plot is available for Rent in Gadakana, Bhubaneswar for 16,000"
medium,"Only interested for lease.This plot is located in shakti vihar  gadhakana near 100 ft road connectin 1500 Sq-ft Residential Plot is available for Rent in Gadakana, Bhubaneswar for 25,000"
medium,"1200 Sq-ft Residential Plot is available for Rent in , Bhubaneswar for 12,000 1200 Sq-ft Residential Plot is available for Rent in , Bhubaneswar for 12,000"
medium,"this is rent property................................. 1400 Sq-ft Residential Plot is available for Rent in Paika Nagar, Bhubaneswar for 15,000"
low,"3000 Sq-ft Residential Plot is available for Rent in Khordha, Bhubaneswar  3000 Sq-ft Residential Plot is available for Rent in Khordha, Bhubaneswar "
medium,"2000 Sq-ft Residential Plot is available for Rent in , Chandrapur for 8,000 2000 Sq-ft Residential Plot is available for Rent in , Chandrapur for 8,000"
low,"4000 Sq-ft Residential Plot is available for Rent in Kalpakkam, Chennai for 15,000 4000 Sq-ft Residential Plot is available for Rent in Kalpakkam, Chennai for 15,000"
medium,"800 Sq-yrd Residential Plot is available for Rent in Katrambakkam, Chennai for 20,000 800 Sq-yrd Residential Plot is available for Rent in Katrambakkam, Chennai for 20,000"
low,"1200 Sq-ft Residential Plot is available for Rent in Thirumudivakkam, Chennai for 45,000 1200 Sq-ft Residential Plot is available for Rent in Thirumudivakkam, Chennai for 45,000"
medium,"the plot is in the residential area as is easily accessible from main road.close to somangalam kundr 850 Sq-ft Residential Plot is available for Rent in Malayambakkam, Chennai for 4,000"
medium,"16 Sq-ft Residential Plot is available for Rent in Ambattur, Chennai for 6,000 16 Sq-ft Residential Plot is available for Rent in Ambattur, Chennai for 6,000"
low,"1200 Sq-ft Residential Plot is available for Rent in Korattur Tank, Chennai for 20,000 1200 Sq-ft Residential Plot is available for Rent in Korattur Tank, Chennai for 20,000"
medium,"2000 Sq-ft Residential Plot is available for Rent in , Chennai for 40,000 2000 Sq-ft Residential Plot is available for Rent in , Chennai for 40,000"
low,"1853 Sq-ft Residential Plot is available for Rent in Medavakkam, Chennai for 25,000 1853 Sq-ft Residential Plot is available for Rent in Medavakkam, Chennai for 25,000"
medium,"1314 Sq-ft Residential Plot is available for Rent in Thorapakkamm, Chennai for 15,000 1314 Sq-ft Residential Plot is available for Rent in Thorapakkamm, Chennai for 15,000"
low,"4800 Sq-ft Residential Plot is available for Rent in Marambedu, Chennai for 1.20 Lac(s) 4800 Sq-ft Residential Plot is available for Rent in Marambedu, Chennai for 1.20 Lac(s)"
medium,"Flat available for Rent at Keeranatham Village. Area measuring 2500 Sq Feet, 2 BHK Semi furnished fl 2500 Sq-ft Residential Plot is available for Rent in Keeranam, Coimbatore for 10,000"
