cScore,merged_col
high,"this is one exceptional society which happens to be build by one of the best golfers of Ahmedabad wh 2 BHK, Farm House is available for Rent in Chharodi Sanand, Ahmedabad for 95,000"
low,"> 10 BHK, Farm House is available for Rent in Shilaj, Ahmedabad for 5.0 Lac(s) > 10 BHK, Farm House is available for Rent in Shilaj, Ahmedabad for 5.0 Lac(s)"
low,"  Farm House is available for Rent in Sanand, Ahmedabad for 65,000   Farm House is available for Rent in Sanand, Ahmedabad for 65,000"
low,"  Farm House is available for Rent in Kaurihar, Allahabad for 1.50 Lac(s)   Farm House is available for Rent in Kaurihar, Allahabad for 1.50 Lac(s)"
medium,"Book for film shooting, corporate events, private parties or family retreats! Spacious and well-main 5 BHK, Farm House is available for Rent in Harohalli, Bangalore for 50,000"
medium,"1 BHK, Farm House is available for Rent in Shidlaghatta Diburahalli Road, Bangalore for 5,000 1 BHK, Farm House is available for Rent in Shidlaghatta Diburahalli Road, Bangalore for 5,000"
medium,"Bella Vista Farmhouse fully furnished property which is couple friendly and available for day to day 1 BHK, Farm House is available for Rent in , Bhopal for 9,999"
medium,"4 BHK, Farm House is available for Rent in Pichanur, Coimbatore for 1,000 4 BHK, Farm House is available for Rent in Pichanur, Coimbatore for 1,000"
low,"  Farm House is available for Rent in Metupalayam, Coimbatore    Farm House is available for Rent in Metupalayam, Coimbatore "
medium,"4 BHK, Farm House is available for Rent in , Dehradun for 25,000 4 BHK, Farm House is available for Rent in , Dehradun for 25,000"
low,"5 BHK, Farm House is available for Rent in , Faridabad for 1.0 Lac(s) 5 BHK, Farm House is available for Rent in , Faridabad for 1.0 Lac(s)"
low,"  Farm House is available for Rent in Sector 14 Vasundhara, Ghaziabad    Farm House is available for Rent in Sector 14 Vasundhara, Ghaziabad "
medium,"  Farm House faces East direction & is built upto 1 floors. Spacious interiors and well maintained h 3 BHK, Farm House is available for Rent in Orlim, Goa for 8,000"
medium,"hill view 2 BHK, Farm House is available for Rent in , Guntur for 55,000"
medium,"It is a fully furnished independent property with no sharing, can be called as farm house or guest h 1 BHK, Farm House is available for Rent in Himayath Sagar, Hyderabad for 20,000"
low,"1 BHK, Farm House is available for Rent in Himayat Sagar Village, Hyderabad for 8,000 1 BHK, Farm House is available for Rent in Himayat Sagar Village, Hyderabad for 8,000"
medium,"1 BHK, Farm House is available for Rent in , Hyderabad for 2,000 1 BHK, Farm House is available for Rent in , Hyderabad for 2,000"
medium,"Farmhouse in Hyderabad for rent 3 BHK, Farm House is available for Rent in Gandipet, Hyderabad for 9,000"
medium,"2 BHK, Farm House is available for Rent in Veerannapet, Hyderabad for 1.0 Lac(s) 2 BHK, Farm House is available for Rent in Veerannapet, Hyderabad for 1.0 Lac(s)"
medium,"Farm house is available for rent. It covered area of 2200 sq-ft, it is a good location. Please conta 2 BHK, Farm House is available for Rent in , Hyderabad for 85,000"
high,"Our property features a wellDesigned layout, ensuring each room offers ample space and privacy. The  7 BHK, Farm House is available for Rent in Barela, Jabalpur for 50,000"
low,"  Farm House is available for Rent in Kudi Bhagtasni Housing Board, Jodhpur for 18,000   Farm House is available for Rent in Kudi Bhagtasni Housing Board, Jodhpur for 18,000"
medium,"Its a farm house which can be used for renting out for parties or can accommodate over 1000 guest in 1 BHK, Farm House is available for Rent in Boranada, Jodhpur for 1.0 Lac(s)"
medium,"1 BHK, Farm House is available for Rent in Elamakkara, Kochi for 28,000 1 BHK, Farm House is available for Rent in Elamakkara, Kochi for 28,000"
high,"5bhk pent house in virndawan luvnest projet 5 BHK, Farm House is available for Rent in Vrindavan Colony, Lucknow for 35,000"
low,"  Farm House is available for Rent in Santacruz West, Mumbai    Farm House is available for Rent in Santacruz West, Mumbai "
low,"  Farm House is available for Rent in Pathardi Phata, Nashik    Farm House is available for Rent in Pathardi Phata, Nashik "
high,"This perfect Farm House in Radhe Mohan Driove is suitable for the people who appreciate Space, Luxur 5 BHK, Farm House is available for Rent in Radhey Mohan Drive, New Delhi for 7.0 Lac(s)"
high,"Vasant Kunj. 2.5 Acre farm size. Ground 1st - 5-6 Bedroom  with atteched bathrooms, Drawing Room, Di 5 BHK, Farm House is available for Rent in Vasant Kunj, New Delhi for 15.0 Lac(s)"
medium,"Farm House In Radhey Mohan Drive, Chattarpur,  Land Area 2.5 Acres with rich neighborhood surroundin 12120 Sq-yrd Farm House is available for Rent in Chattarpur, New Delhi for 8.0 Lac(s)"
high,"Luxury 6 bedrooms farm house available for rent in Dlf Chattarpur farms South Delhi. Their is a gues 6 BHK, Farm House is available for Rent in Chattarpur, New Delhi for 7.0 Lac(s)"
high,"Presenting an exquisite 8 BHK farmhouse for rent in the prestigious locale of DLF Chattarpur Farms,  8 BHK, Farm House is available for Rent in DLF Farms, New Delhi for 8.0 Lac(s)"
medium,"new farm available for rent in chattarpur dlf we have more options according to your requerment and  6 BHK, Farm House is available for Rent in Chattarpur, New Delhi for 5.0 Lac(s)"
medium,"3 BHK, Farm House is available for Rent in , New Delhi for 60,000 3 BHK, Farm House is available for Rent in , New Delhi for 60,000"
high,"5 Bedroom Brand New Farm house in Radhey Mohan Drive Available for rent. This is very close bandh ro 5 BHK, Farm House is available for Rent in Radhey Mohan Drive, New Delhi for 7.76 Lac(s)"
high,"SAINIK FARMS SOUTH DELHI 3,bhk property available for rent sainik farm independent Kothi 3,bedroom w 3 BHK, Farm House is available for Rent in Sainik Farm, New Delhi for 1.50 Lac(s)"
high,"1600 sq yards Kothi for rent in Dera mandi well maintained 5 bedroom Kothi garden park main road pro 5 BHK, Farm House is available for Rent in Dera, New Delhi for 2.50 Lac(s)"
high,"4 bedroom, staff Quarters with 4 spacious room, Bathroom and kitchen & 2 Garages, swimming pool, gua 4 BHK, Farm House is available for Rent in Radhey Mohan Drive, New Delhi for 4.50 Lac(s)"
medium,"3 Acre Farm House is available for Rent in Chattarpur, New Delhi for 10.0 Lac(s) 3 Acre Farm House is available for Rent in Chattarpur, New Delhi for 10.0 Lac(s)"
high,"Luxury 5BHK farms available for rent in Ansal Farms Chhattarpur.Modular kitchen and newly build up . 5 BHK, Farm House is available for Rent in Chhatarpur Farms, New Delhi for 5.50 Lac(s)"
high,"available for more option in rent farms house in chattarpur.sultanpur.dlf farms 4 BHK, Farm House is available for Rent in Sultanpur, New Delhi for 3.20 Lac(s)"
low,"6 BHK, Farm House is available for Rent in Dera, New Delhi for 16.0 Lac(s) 6 BHK, Farm House is available for Rent in Dera, New Delhi for 16.0 Lac(s)"
medium,"Farm house is available for rent. It covered area of 7800 sq-ft, it is a good location. Please conta 5 BHK, Farm House is available for Rent in Chattarpur, New Delhi for 9.0 Lac(s)"
medium,"1 BHK, Farm House is available for Rent in Madanpur Khadar, New Delhi for 9,000 1 BHK, Farm House is available for Rent in Madanpur Khadar, New Delhi for 9,000"
medium,"North-East facing, fully furnished spacious flat with a large terrace and bathrooms adjoining the be 2 BHK, Farm House is available for Rent in , New Delhi for 1.0 Lac(s)"
high,"8 BHK, Fully Furnished Farm House with Swimming Pool, Lawn and Terrace  Available For Rent In DLF Ch 8 BHK, Farm House is available for Rent in Chhatarpur Farms, New Delhi for 8.0 Lac(s)"
medium,"DLF Chattarpur. 1 Acre Ground1st - 5 Bedrooms with bathroom, Drawing room, Dining room, Kitchen, Gar 5 BHK, Farm House is available for Rent in Westend DLF Chattarpur Farms, New Delhi for 8.0 Lac(s)"
medium,"Newly Built Luxury Farmhouse on mall road, Vasant kunj. The most prominent location farmhouse near t 3 Acre Farm House is available for Rent in Vasant Kunj, New Delhi for 12.0 Lac(s)"
high,"Luxury 6 bhk fram house available for rent in Dlf Chattarpur farms South Delhi .very prime location  6 BHK, Farm House is available for Rent in Chattarpur, New Delhi for 8.0 Lac(s)"
medium,"Farm house is available for rent. It covered area of 8000 sq-ft, it is a good location. Please conta 8 BHK, Farm House is available for Rent in DLF Farms, New Delhi for 9.0 Lac(s)"
medium,"5 bedroom farm available for rent in chattarpur dlf we have more option in dlf, ansal, radhey mohan, 5 BHK, Farm House is available for Rent in Chattarpur, New Delhi for 4.50 Lac(s)"
high,"very luxury farm house 5 bedrooms available for rent in Radhey mohan drive chattarpur .very prime lo 5 BHK, Farm House is available for Rent in Gadaipur, New Delhi "
high,"3bhk property available for rent sainik farm indepenent kothi 3 bedroom with 3 attached bathroom L c 3 BHK, Farm House is available for Rent in Sainik Farm, New Delhi for 1.35 Lac(s)"
high,"Luxuries 5BHK Farms House with very big garden area and personal swimming pool and modular kitchen.2 5 BHK, Farm House is available for Rent in Chhatarpur Farms, New Delhi for 10.0 Lac(s)"
medium,"very good location brand new farm house and more  options in dera mandi.radhey mohan drive.dlf farms 3 BHK, Farm House is available for Rent in Dera Village, New Delhi for 3.0 Lac(s)"
high,"This perfect Fully Furnished Farm House in 4 Acres is suitable for the people who appreciate Space,  4 BHK, Farm House is available for Rent in Chattarpur, New Delhi for 8.0 Lac(s)"
medium,"DLF Chattarpur. 2 Acre farm land, NorthEast facing, FurnishedUnfurnished  Main house consists of 6 B 6 BHK, Farm House is available for Rent in Westend DLF Chattarpur Farms, New Delhi for 10.0 Lac(s)"
medium,"We have a huge Farm House at Village Nisarpura PO Raniatalao Thana Dulhin Bazar District Patna Pin   4 BHK, Farm House is available for Rent in Phulwari Sharif, Patna for 40,000"
medium,"A Beautiful farmhouse with lot of privacy. 5 BHK, Farm House is available for Rent in Paud, Pune for 50,000"
low,"  Farm House is available for Rent in Wagholi, Pune for 15,000   Farm House is available for Rent in Wagholi, Pune for 15,000"
low,"1 BHK, Farm House is available for Rent in , Pune for 20,000 1 BHK, Farm House is available for Rent in , Pune for 20,000"
low,"  Farm House is available for Rent in Chinchwad Gaon, Pune    Farm House is available for Rent in Chinchwad Gaon, Pune "
medium,"> 10 BHK, Farm House is available for Rent in Dhalli, Shimla for 3.0 Lac(s) > 10 BHK, Farm House is available for Rent in Dhalli, Shimla for 3.0 Lac(s)"
low,"2 BHK, Farm House is available for Rent in , Thrissur for 13,100 2 BHK, Farm House is available for Rent in , Thrissur for 13,100"
low,"  Farm House is available for Rent in Puliyarakonam, Trivandrum    Farm House is available for Rent in Puliyarakonam, Trivandrum "
