cScore,merged_col
medium,"CCP REALTO..A specially designed commercial complex,  situated at surjamaninagar, babul chowmuhani,  1350 Sq-ft Commercial Showroom is available for Sale in Suryamani nagar, Agartala for 63.0 Lac(s)"
medium,"Discover a prime opportunity to own a commercial showroom in the bustling area of Old RMS Chowmuhani   Commercial Showroom is available for Sale in Old RMS Chowmuhani, Agartala for 1.5 Crore(s)"
medium,"  Commercial Shop is available for Sale in Old RMS Chowmuhani, Agartala for 85.0 Lac(s)   Commercial Shop is available for Sale in Old RMS Chowmuhani, Agartala for 85.0 Lac(s)"
high,"North Facing shop with very heavy footfall. Providing immediate rental return plus amazing opportuni 250 Sq-ft Commercial Shop is available for Sale in , Agra for 85.0 Lac(s)"
medium,"Discover a Commercial Shop for Sale in the bustling heart of Sanjay Place, Agra, a prime location fe   Commercial Shop is available for Sale in Sanjay Place, Agra for 90.0 Lac(s)"
high,"prime location commercial space 210 Sq-ft Commercial Shop is available for Sale in Awas Vikas Colony Sector-4A, Agra for 28.0 Lac(s)"
medium,"I want sell this property in kamla nagar agra   Commercial Shop is available for Sale in Kamla nagar, Agra for 1.2 Crore(s)"
medium,"A spacious and wellDesigned commercial shop is available in sikandra bodla road, agra for sale. This   Commercial Shop is available for Sale in Sikandra Bodla Road, Agra for 65.0 Lac(s)"
low,"  Commercial Shop is available for Sale in MG Road 2, Agra for 1.7 Crore(s)   Commercial Shop is available for Sale in MG Road 2, Agra for 1.7 Crore(s)"
medium,"It is a corner shop in sanjay place  on prime  location.   Commercial Shop is available for Sale in Sanjay Place, Agra for 55.0 Lac(s)"
medium,"  Commercial Shop is available for Sale in Shaheed Nagar, Agra for 18.0 Lac(s)   Commercial Shop is available for Sale in Shaheed Nagar, Agra for 18.0 Lac(s)"
medium,"Shop on ground floor with own terrace   Commercial Shop is available for Sale in Lagre Ki Chauki, Agra for 32.0 Lac(s)"
medium,"This property is adjecent to Ansal Town.   Commercial Shop is available for Sale in Agra Shamshabad Raja Kherah Marg, Agra for 6.0 Lac(s)"
medium,"  Commercial Shop is available for Sale in Sanjay Place, Agra for 70.0 Lac(s)   Commercial Shop is available for Sale in Sanjay Place, Agra for 70.0 Lac(s)"
medium,"  Commercial Shop is available for Sale in Sikandra Bodla Road, Agra for 80.0 Lac(s)   Commercial Shop is available for Sale in Sikandra Bodla Road, Agra for 80.0 Lac(s)"
medium,"  Commercial Shop is available for Sale in Taj Nagri, Agra for 15.0 Lac(s)   Commercial Shop is available for Sale in Taj Nagri, Agra for 15.0 Lac(s)"
medium,"Commercial shop is available for sale. Can use as clinic grocery shop jwellery shop garments shop et   Commercial Shop is available for Sale in , Agra for 32.0 Lac(s)"
medium,"On road property, Old Kanpur-Firozabad Highway, Nunhai   Commercial Shop is available for Sale in Nuhai Industrial area, Agra for 25.0 Lac(s)"
medium,"shop for all purpose business huge amount of crowd is there near the shop parking facility all avail   Commercial Shop is available for Sale in Kamla nagar, Agra for 2.0 Crore(s)"
low,"  Commercial Shop is available for Sale in Sanjay Place, Agra for 80.0 Lac(s)   Commercial Shop is available for Sale in Sanjay Place, Agra for 80.0 Lac(s)"
medium,"Located in the bustling area of Tajganj, Agra, this commercial shop presents an excellent opportunit   Commercial Shop is available for Sale in Tajganj, Agra for 1.1 Crore(s)"
low,"  Commercial Shop is available for Sale in Runukta, Agra for 2.5 Crore(s)   Commercial Shop is available for Sale in Runukta, Agra for 2.5 Crore(s)"
low,"  Commercial Shop is available for Sale in Civil Lines, Agra for 2.7 Crore(s)   Commercial Shop is available for Sale in Civil Lines, Agra for 2.7 Crore(s)"
medium,"Its a 1st floor Commercial Shop in a building of total 3 floors. The type of ownership is Freehold.    Commercial Shop is available for Sale in Raja Ki Mandi, Agra for 16.50 Lac(s)"
medium,"North Facing Shop is on sale on main highway road, fully furnished shop with attach washroom. The sh   Commercial Shop is available for Sale in Sikandra, Agra for 70.0 Lac(s)"
low,"  Commercial Shop is available for Sale in Sector 7 Avas Vikas Colony, Agra for 35.0 Lac(s)   Commercial Shop is available for Sale in Sector 7 Avas Vikas Colony, Agra for 35.0 Lac(s)"
medium,"  Commercial Shop is available for Sale in Agra Road, Agra for 22.0 Lac(s)   Commercial Shop is available for Sale in Agra Road, Agra for 22.0 Lac(s)"
medium,"  Commercial Shop is available for Sale in Dahtaura, Agra for 20.0 Lac(s)   Commercial Shop is available for Sale in Dahtaura, Agra for 20.0 Lac(s)"
low,"  Commercial Showroom is available for Sale in , Agra for 2.0 Lac(s)   Commercial Showroom is available for Sale in , Agra for 2.0 Lac(s)"
low,"  Commercial Shop is available for Sale in Shahganj, Agra for 85.0 Lac(s)   Commercial Shop is available for Sale in Shahganj, Agra for 85.0 Lac(s)"
low,"  Commercial Shop is available for Sale in Shaheed Nagar, Agra for 15.0 Lac(s)   Commercial Shop is available for Sale in Shaheed Nagar, Agra for 15.0 Lac(s)"
low,"  Commercial Shop is available for Sale in Shahganj, Agra for 45.0 Lac(s)   Commercial Shop is available for Sale in Shahganj, Agra for 45.0 Lac(s)"
low,"  Commercial Shop is available for Sale in Shaheed Nagar, Agra for 15.0 Lac(s)   Commercial Shop is available for Sale in Shaheed Nagar, Agra for 15.0 Lac(s)"
low,"  Commercial Showroom is available for Sale in Rakabganj, Agra for 13.5 Crore(s)   Commercial Showroom is available for Sale in Rakabganj, Agra for 13.5 Crore(s)"
medium,"Located in the bustling area of Tajganj, Agra, this commercial shop presents an excellent opportunit   Commercial Shop is available for Sale in Tajganj, Agra for 1.1 Crore(s)"
low,"  Commercial Shop is available for Sale in Runukta, Agra for 2.5 Crore(s)   Commercial Shop is available for Sale in Runukta, Agra for 2.5 Crore(s)"
low,"  Commercial Shop is available for Sale in Civil Lines, Agra for 2.7 Crore(s)   Commercial Shop is available for Sale in Civil Lines, Agra for 2.7 Crore(s)"
medium,"Its a 1st floor Commercial Shop in a building of total 3 floors. The type of ownership is Freehold.    Commercial Shop is available for Sale in Raja Ki Mandi, Agra for 16.50 Lac(s)"
