cScore,merged_col
medium,"  Industrial Shed is available for Rent in Sikandra, Agra for 40,000   Industrial Shed is available for Rent in Sikandra, Agra for 40,000"
medium," The Industrial Shed is newly constructed.    Industrial Shed is available for Rent in Supa, Ahmadnagar for 60,000"
low,"  Industrial Shed is available for Rent in Shrirampur, Ahmadnagar for 1.37 Lac(s)   Industrial Shed is available for Rent in Shrirampur, Ahmadnagar for 1.37 Lac(s)"
high,"AVAILABLE WAREHOUSE, INDUSTRIAL SHED FROM  25000 SQFT. 30000 SQFT. 40000 SQFT.  50000 SQFT.  70000 S 60000 Sq-ft Industrial Shed is available for Rent in Bavla, Ahmedabad for 7.70 Lac(s)"
high,"Grade A warehouses and industrial sheds strategically located in prime industrial hubs of Ahmedabad, 21750 Sq-ft Industrial Shed is available for Rent in Jetalpur, Ahmedabad for 1.95 Lac(s)"
high,"Our company has been serving clients in Changodar, Bavla, and other areas for over 30 years, making  153000 Sq-ft Industrial Shed is available for Rent in Bavla, Ahmedabad for 14.0 Lac(s)"
high,"Industrial Shed available for rent or long lease at prime location of Ahmedabad, Moraiya, Bavla, San 65000 Sq-ft Industrial Shed is available for Rent in Bavla, Ahmedabad for 8.0 Lac(s)"
medium,"Embrace the opportunity to rent a spacious industrial shed in the bustling Changodar area of Ahmedab   Industrial Shed is available for Rent in Changodar, Ahmedabad for 1.50 Lac(s)"
high,"30000 TO 500000 SQ FT WE HAVE MANY PROPERTIES LIKE FACTORY, INDUSTRIAL SHED, WAREHOUSE, GODOWN, LAND 150000 Sq-ft Industrial Shed is available for Rent in Bareja, Ahmedabad for 12.0 Lac(s)"
high,"WE HAVE SUITABLE OPTION FOR ALL COMPANIES WHO ARE LOOKING FOR WAREHOUSE, INDUSTRIAL SHED, GODOWN, FA 120000 Sq-ft Industrial Shed is available for Rent in Sanand, Ahmedabad for 14.0 Lac(s)"
high,"AVAILABLE WAREHOUSE, INDUSTRIAL SHED FROM  15000 SQFT. 25000 SQFT. 30000 SQFT. 40000 SQFT.  50000 SQ 300000 Sq-ft Industrial Shed is available for Rent in Changodar, Ahmedabad for 27.50 Lac(s)"
high,"WE ARE SPECIALIST IN INDUSTRIAL SHED, WAREHOUSE, FACTORY, LAND FOR RENT, LEASE AND SALE.  WE HAVE MO 200000 Sq-ft Industrial Shed is available for Rent in Aslali, Ahmedabad for 18.0 Lac(s)"
high,"Industrial shed Factory  for rentlease in Ahmedabad, 10000 Sq ft to 700000 sq ft  Gujarat and  Wareh 130000 Sq-ft Industrial Shed is available for Rent in Changodar, Ahmedabad for 12.0 Lac(s)"
high,"SHED FOR RENT10,000 FTMAIN ROD VIEWPRIME LOCATION 10000 Sq-ft Industrial Shed is available for Rent in Santej, Ahmedabad for 1.80 Lac(s)"
high,"Unlock the potential for your business with this expansive Industrial Shed for Rent located in Undre 3742 Sq-ft Industrial Shed is available for Rent in Undrel, Ahmedabad for 40,000"
medium,"Very nice location and well maintain 50000ft shed with 30ft Height, 550kv power and also there is fi   Industrial Shed is available for Rent in Kadi, Ahmedabad for 12.0 Lac(s)"
high,"INDUSTRIAL SHED 40 FT X 105 FT FULL RCC CONSTRUCTION ,SEPERATE OFFICE, SEPERATE ENTRY FOR SHED AND T 4600 Sq-ft Industrial Shed is available for Rent in Kubadthal, Ahmedabad for 55,000"
high,"An outstanding Industrial SHED is available for sale It is one of the best locations of Ahmedabad. V 12100 Sq-ft Industrial Shed is available for Rent in Dhamatwan, Ahmedabad for 1.10 Lac(s)"
medium,"This spacious industrial shed, available for rent in the well-connected area of Bakrol Bujrang, Ahme   Industrial Shed is available for Rent in Bakrol Bujrang, Ahmedabad for 35,000"
high,"Available for rent, this spacious industrial shed spans a substantial 3,879 square feet, making it a 500 Sq-yrd Industrial Shed is available for Rent in Kuha, Ahmedabad for 55,000"
medium,"Experience an exceptional industrial opportunity in Bakrol, Ahmedabad, with this spacious industrial   Industrial Shed is available for Rent in Bakrol, Ahmedabad for 80,000"
medium,"East West Facing Industrial RCC Shed with 10Ft height and 8 Ft height  total 18 fT height. Best for    Industrial Shed is available for Rent in Changodar, Ahmedabad for 44,000"
high,"Rent In Bakrol.This industrial shed with steel and RCC roofing is robustly constructed to meet all t 605 Sq-yrd Industrial Shed is available for Rent in Bakrol, Ahmedabad for 70,000"
medium,"Property Details.1. property is well maintained and prime location2. service for 24 hour securities    Industrial Shed is available for Rent in Moraiya, Ahmedabad for 4.50 Lac(s)"
