cScore,merged_col
low,"  Warehouse/ Godown is available for Sale in Dukli, Agartala    Warehouse/ Godown is available for Sale in Dukli, Agartala "
medium,"Located in the prime industrial area of Sikandra Bodla Road, Agra, this spacious warehouse offers ex   Warehouse/ Godown is available for Sale in , Agra for 3.5 Crore(s)"
low,"  Warehouse/ Godown is available for Sale in , Agra for 90.0 Lac(s)   Warehouse/ Godown is available for Sale in , Agra for 90.0 Lac(s)"
medium,"2300 sqft approx hall   Warehouse/ Godown is available for Sale in Dharesi, Agra for 2.5 Crore(s)"
medium,"Unlock a prime investment opportunity with this newly constructed warehouse/godown for sale in Itora 3600 Sq-ft Warehouse/ Godown is available for Sale in , Agra for 1.8 Crore(s)"
low,"Warehouse is well east west facing, factory purpose godown available, for immediate sale. Please con   Warehouse/ Godown is available for Sale in Foundry Nagar, Agra for 2.5 Crore(s)"
low,"  Warehouse/ Godown is available for Sale in , Agra    Warehouse/ Godown is available for Sale in , Agra "
medium,"  Warehouse/ Godown is available for Sale in Supa, Ahmadnagar for 2.1 Crore(s)   Warehouse/ Godown is available for Sale in Supa, Ahmadnagar for 2.1 Crore(s)"
low,"  Warehouse/ Godown is available for Sale in Supa, Ahmadnagar for 2.5 Crore(s)   Warehouse/ Godown is available for Sale in Supa, Ahmadnagar for 2.5 Crore(s)"
medium,"the property has 2 entrance one is from front and one is from back and also tank capacity of 5000 li   Warehouse/ Godown is available for Sale in Pathardi, Ahmadnagar for 1.2 Crore(s)"
high,"Industrial land for sale in prime location of Changodar which is main road facing 1000 Sq-yrd Warehouse/ Godown is available for Sale in Changodar, Ahmedabad for 22.0 Crore(s)"
medium,"This warehouse offers strategic location, customizable space and modern infrastructure. Ready to mov   Warehouse/ Godown is available for Sale in Rajoda, Ahmedabad for 45.0 Crore(s)"
medium,"Here's a prime opportunity for the sale of a modern warehouse/godown in Shawadi, Ahmedabad, with les   Warehouse/ Godown is available for Sale in Shawadi, Ahmedabad for 3.7 Crore(s)"
high,"Seize this incredible opportunity to own a premium Commercial Office Space available for sale in the   Warehouse/ Godown is available for Sale in Navrangpura, Ahmedabad for 1.5 Crore(s)"
medium,"The warehouse is available for sale. It covered an area of 500 sq-ft, it is a good location property   Warehouse/ Godown is available for Sale in Chamunda Nagar Sarkhej, Ahmedabad for 40.0 Lac(s)"
