cScore,merged_col
low,"5 Bigha Agricultural Land is available for Sale in , Agra for 80.0 Lac(s) 5 Bigha Agricultural Land is available for Sale in , Agra for 80.0 Lac(s)"
medium,"5600 Sq-yrd Agricultural Land is available for Sale in Fatehabad Road, Agra for 1.2 Crore(s) 5600 Sq-yrd Agricultural Land is available for Sale in Fatehabad Road, Agra for 1.2 Crore(s)"
low,"8 Bigha Agricultural Land is available for Sale in Achhnera, Agra for 5.2 Crore(s) 8 Bigha Agricultural Land is available for Sale in Achhnera, Agra for 5.2 Crore(s)"
low,"2 Bigha Agricultural Land is available for Sale in Bichpuri, Agra for 1.0 Crore(s) 2 Bigha Agricultural Land is available for Sale in Bichpuri, Agra for 1.0 Crore(s)"
low,"1600 Sq-yrd Agricultural Land is available for Sale in Shamshabad, Agra for 18.0 Lac(s) 1600 Sq-yrd Agricultural Land is available for Sale in Shamshabad, Agra for 18.0 Lac(s)"
low,"2 Bigha Agricultural Land is available for Sale in Kundoul, Agra for 2.2 Crore(s) 2 Bigha Agricultural Land is available for Sale in Kundoul, Agra for 2.2 Crore(s)"
medium,"Total 6 bigha land Price is 90 lakhs  bigha Out of 6 bighaWe can sell all 6 bigha, 2 bigha, or 1 big 6 Bigha Agricultural Land is available for Sale in Bichpuri, Agra for 6.6 Crore(s)"
low,"2 Bigha Agricultural Land is available for Sale in Fatehabad Road, Agra for 1.5 Crore(s) 2 Bigha Agricultural Land is available for Sale in Fatehabad Road, Agra for 1.5 Crore(s)"
low,"3 Bigha Agricultural Land is available for Sale in Etmadpur, Agra for 3.0 Crore(s) 3 Bigha Agricultural Land is available for Sale in Etmadpur, Agra for 3.0 Crore(s)"
low,"31500 Sq-ft Agricultural Land is available for Sale in Raibha, Agra for 7.0 Crore(s) 31500 Sq-ft Agricultural Land is available for Sale in Raibha, Agra for 7.0 Crore(s)"
low,"12 Bigha Agricultural Land is available for Sale in Jaipur Agra Road, Agra for 12.0 Crore(s) 12 Bigha Agricultural Land is available for Sale in Jaipur Agra Road, Agra for 12.0 Crore(s)"
medium,"Agricultural land is well located available for sale in the prime locality with all the facility wit 8 Bigha Agricultural Land is available for Sale in , Agra for 96.0 Lac(s)"
low,"  Agricultural Land is available for Sale in , Agra    Agricultural Land is available for Sale in , Agra "
low,"3 Bigha Agricultural Land is available for Sale in Gwalior Road, Agra  3 Bigha Agricultural Land is available for Sale in Gwalior Road, Agra "
medium,"6 Acre Agricultural Land is available for Sale in , Ahmadnagar for 72.0 Lac(s) 6 Acre Agricultural Land is available for Sale in , Ahmadnagar for 72.0 Lac(s)"
medium,"20 Acre Agricultural Land is available for Sale in Parner, Ahmadnagar for 2.0 Crore(s) 20 Acre Agricultural Land is available for Sale in Parner, Ahmadnagar for 2.0 Crore(s)"
medium,"2 Acre Agricultural Land is available for Sale in , Ahmadnagar for 45.0 Lac(s) 2 Acre Agricultural Land is available for Sale in , Ahmadnagar for 45.0 Lac(s)"
low,"9 Acre Agricultural Land is available for Sale in Supa, Ahmadnagar for 2.7 Crore(s) 9 Acre Agricultural Land is available for Sale in Supa, Ahmadnagar for 2.7 Crore(s)"
medium,"2 Acre Agricultural Land is available for Sale in Kopargaon, Ahmadnagar for 60.0 Lac(s) 2 Acre Agricultural Land is available for Sale in Kopargaon, Ahmadnagar for 60.0 Lac(s)"
low,"2 Acre Agricultural Land is available for Sale in Shrigonda, Ahmadnagar for 40.0 Lac(s) 2 Acre Agricultural Land is available for Sale in Shrigonda, Ahmadnagar for 40.0 Lac(s)"
medium,"2 Acre Agricultural Land is available for Sale in Shirdi Hwy, Ahmadnagar for 1.6 Crore(s) 2 Acre Agricultural Land is available for Sale in Shirdi Hwy, Ahmadnagar for 1.6 Crore(s)"
low,"8000 Sq-ft Agricultural Land is available for Sale in Shevgaon, Ahmadnagar for 8.0 Crore(s) 8000 Sq-ft Agricultural Land is available for Sale in Shevgaon, Ahmadnagar for 8.0 Crore(s)"
low,"28 Acre Agricultural Land is available for Sale in Shrigonda, Ahmadnagar for 14.0 Crore(s) 28 Acre Agricultural Land is available for Sale in Shrigonda, Ahmadnagar for 14.0 Crore(s)"
low,"2 Acre Agricultural Land is available for Sale in Shrigonda, Ahmadnagar for 30.0 Lac(s) 2 Acre Agricultural Land is available for Sale in Shrigonda, Ahmadnagar for 30.0 Lac(s)"
low,"63 Guntha Agricultural Land is available for Sale in Sangamner, Ahmadnagar for 2.0 Crore(s) 63 Guntha Agricultural Land is available for Sale in Sangamner, Ahmadnagar for 2.0 Crore(s)"
medium," This Agricultural Land is meant for the purpose of Sale in Shrigonda, Ahmadnagar. The setting of th 100 Guntha Agricultural Land is available for Sale in Karjat, Ahmadnagar for 25.0 Lac(s)"
low,"10 Acre Agricultural Land is available for Sale in Kaudgaon, Ahmadnagar for 2.0 Crore(s) 10 Acre Agricultural Land is available for Sale in Kaudgaon, Ahmadnagar for 2.0 Crore(s)"
low,"70 Acre Agricultural Land is available for Sale in Shevgaon, Ahmadnagar for 17.5 Crore(s) 70 Acre Agricultural Land is available for Sale in Shevgaon, Ahmadnagar for 17.5 Crore(s)"
low,"2 Acre Agricultural Land is available for Sale in Newasa, Ahmadnagar for 37.50 Lac(s) 2 Acre Agricultural Land is available for Sale in Newasa, Ahmadnagar for 37.50 Lac(s)"
medium,"10 acres of land suitable for agriculture with facilities like electricity supply, Water storage. Ne 10 Acre Agricultural Land is available for Sale in , Ahmadnagar for 2.5 Crore(s)"
low,"6 Acre Agricultural Land is available for Sale in Shrirampur, Ahmadnagar for 1.2 Crore(s) 6 Acre Agricultural Land is available for Sale in Shrirampur, Ahmadnagar for 1.2 Crore(s)"
medium,"1 Hectare Agricultural Land is available for Sale in Kopargaon, Ahmadnagar for 45.0 Lac(s) 1 Hectare Agricultural Land is available for Sale in Kopargaon, Ahmadnagar for 45.0 Lac(s)"
medium,"110 Acre Agricultural Land is available for Sale in , Ahmadnagar for 18.0 Crore(s) 110 Acre Agricultural Land is available for Sale in , Ahmadnagar for 18.0 Crore(s)"
