cScore,merged_col
medium,". CCTV Surveillance, Ensuring 24X7 safety for your belongings.. 24X7 Water Supply.. WIFI On Demand..   Warehouse/ Godown is available for Rent in Ramnagar, Agartala for 15,000"
low,"  Warehouse/ Godown is available for Rent in , Agartala for 1.0 Lac(s)   Warehouse/ Godown is available for Rent in , Agartala for 1.0 Lac(s)"
low,"  Warehouse/ Godown is available for Rent in Dhaleswar, Agartala for 60,000   Warehouse/ Godown is available for Rent in Dhaleswar, Agartala for 60,000"
medium,"Discover a well-maintained warehouse/godown for rent in Shastri Puram, Agra, with a construction age   Warehouse/ Godown is available for Rent in Shastri Puram, Agra for 16.25 Lac(s)"
medium,"Semi furnished warehouse available for lease in Agra   Warehouse/ Godown is available for Rent in Amarpura, Agra for 2.0 Lac(s)"
medium,"Very useful for a service centre,warehouse,Premium hostel, Coaching centre,Marriage or Party purpose   Warehouse/ Godown is available for Rent in Sector 8 Avas Vikas Colony, Agra for 50,000"
medium,"  Warehouse/ Godown is available for Rent in Dhanauli, Agra for 24,000   Warehouse/ Godown is available for Rent in Dhanauli, Agra for 24,000"
high,"Totally separate portion with lat bath facility, power etc.... 1800 Sq-ft Warehouse/ Godown is available for Rent in Kamla nagar, Agra for 10,000"
medium,"  Warehouse/ Godown is available for Rent in Kamla nagar, Agra for 90,000   Warehouse/ Godown is available for Rent in Kamla nagar, Agra for 90,000"
medium,"  Warehouse/ Godown is available for Rent in Ram Bagh, Agra for 40,000   Warehouse/ Godown is available for Rent in Ram Bagh, Agra for 40,000"
low,"  Warehouse/ Godown is available for Rent in Church Road Defence Colony, Agra for 1.80 Lac(s)   Warehouse/ Godown is available for Rent in Church Road Defence Colony, Agra for 1.80 Lac(s)"
low,"  Warehouse/ Godown is available for Rent in Vayu Vihar, Agra for 18,000   Warehouse/ Godown is available for Rent in Vayu Vihar, Agra for 18,000"
low,"  Warehouse/ Godown is available for Rent in Jawahar Nagar, Agra for 55,500   Warehouse/ Godown is available for Rent in Jawahar Nagar, Agra for 55,500"
medium,"Newly RCC Constructed Hall suitable for Trading and Manufacturing business,with 20 kw electricity co   Warehouse/ Godown is available for Rent in , Agra for 35,000"
high,"Space is available in a prime location highly dense by population, connected via public transport ne   Warehouse/ Godown is available for Rent in Phase 3 Pushpanjali Nagar, Agra for 16,000"
low,"  Warehouse/ Godown is available for Rent in , Agra for 3.0 Lac(s)   Warehouse/ Godown is available for Rent in , Agra for 3.0 Lac(s)"
medium,"  Warehouse/ Godown is available for Rent in Foundry Nagar, Agra for 28,000   Warehouse/ Godown is available for Rent in Foundry Nagar, Agra for 28,000"
medium,"Suitable for FMCG , electronics, e commerce logistics players and other logistics companies 40000 Sq-ft Warehouse/ Godown is available for Rent in Hathras Road Foundry Nagar, Agra for 3.0 Lac(s)"
low,"  Warehouse/ Godown is available for Rent in Baroli Ahir, Agra for 40,000   Warehouse/ Godown is available for Rent in Baroli Ahir, Agra for 40,000"
low,"  Warehouse/ Godown is available for Rent in Rajpur Chungi, Agra for 15,000   Warehouse/ Godown is available for Rent in Rajpur Chungi, Agra for 15,000"
medium,"industrial area ,100 meter connectivity to agra delhi highway   Warehouse/ Godown is available for Rent in Shastri Puram, Agra for 2.0 Lac(s)"
low,"  Warehouse/ Godown is available for Rent in Shahganj, Agra for 10,000   Warehouse/ Godown is available for Rent in Shahganj, Agra for 10,000"
medium,"  Warehouse/ Godown is available for Rent in Artauni, Agra for 25,000   Warehouse/ Godown is available for Rent in Artauni, Agra for 25,000"
medium,"  Warehouse/ Godown is available for Rent in Sadar Bazaar, Agra for 8,000   Warehouse/ Godown is available for Rent in Sadar Bazaar, Agra for 8,000"
medium,"  Warehouse/ Godown is available for Rent in Lawyers Colony, Agra for 30,000   Warehouse/ Godown is available for Rent in Lawyers Colony, Agra for 30,000"
low,"  Warehouse/ Godown is available for Rent in Ram Bagh, Agra for 30,000   Warehouse/ Godown is available for Rent in Ram Bagh, Agra for 30,000"
low,"  Warehouse/ Godown is available for Rent in Dev Nagar, Agra for 15,000   Warehouse/ Godown is available for Rent in Dev Nagar, Agra for 15,000"
medium,"AREA COVERED BY FULL SHADE WITH PROPER VENTILTORS ,ALSO HAVING 1 FURNISHED OFFICE WITH CONNECTED STA   Warehouse/ Godown is available for Rent in Ram Bagh, Agra for 35,000"
low,"  Warehouse/ Godown is available for Rent in Tedi Baghia, Agra for 60,000   Warehouse/ Godown is available for Rent in Tedi Baghia, Agra for 60,000"
low,"  Warehouse/ Godown is available for Rent in Khandari, Agra for 15,000   Warehouse/ Godown is available for Rent in Khandari, Agra for 15,000"
low,"  Warehouse/ Godown is available for Rent in Sikandra, Agra for 50,000   Warehouse/ Godown is available for Rent in Sikandra, Agra for 50,000"
low,"  Warehouse/ Godown is available for Rent in Hathras Road Foundry Nagar, Agra for 18,000   Warehouse/ Godown is available for Rent in Hathras Road Foundry Nagar, Agra for 18,000"
low,"  Warehouse/ Godown is available for Rent in Wazirpura, Agra for 9,000   Warehouse/ Godown is available for Rent in Wazirpura, Agra for 9,000"
medium,"Being used as vault and office for more than 10yrs by SIPL, CMS. heart of the city. lample parking s   Warehouse/ Godown is available for Rent in Professor Colony, Agra for 80,000"
medium,"  Warehouse/ Godown is available for Rent in Kuberpur, Agra for 15,000   Warehouse/ Godown is available for Rent in Kuberpur, Agra for 15,000"
low,"  Warehouse/ Godown is available for Rent in Shastri Puram, Agra for 22,000   Warehouse/ Godown is available for Rent in Shastri Puram, Agra for 22,000"
low,"  Warehouse/ Godown is available for Rent in Kalindi Vihar, Agra for 1.30 Lac(s)   Warehouse/ Godown is available for Rent in Kalindi Vihar, Agra for 1.30 Lac(s)"
low,"  Warehouse/ Godown is available for Rent in Sector 11 Avas Vikas Colony, Agra for 45,000   Warehouse/ Godown is available for Rent in Sector 11 Avas Vikas Colony, Agra for 45,000"
medium,"  Warehouse/ Godown is available for Rent in Sewla Jatt, Agra for 20,000   Warehouse/ Godown is available for Rent in Sewla Jatt, Agra for 20,000"
medium,"  Warehouse/ Godown is available for Rent in Bamrauli Katara, Agra for 9,000   Warehouse/ Godown is available for Rent in Bamrauli Katara, Agra for 9,000"
medium,"Park Facing   Warehouse/ Godown is available for Rent in Trans Yamuna Colony, Agra for 8,000"
medium,"  Warehouse/ Godown is available for Rent in Bichpuri, Agra for 1.0 Lac(s)   Warehouse/ Godown is available for Rent in Bichpuri, Agra for 1.0 Lac(s)"
low,"  Warehouse/ Godown is available for Rent in Tedi Baghia, Agra for 50,000   Warehouse/ Godown is available for Rent in Tedi Baghia, Agra for 50,000"
medium,"The warehouse is available for rent. It covered an area of 4600 sq-ft, it is a good location propert   Warehouse/ Godown is available for Rent in , Agra for 80,000"
low,"  Warehouse/ Godown is available for Rent in Belanganj, Agra for 10,000   Warehouse/ Godown is available for Rent in Belanganj, Agra for 10,000"
medium,"  Warehouse/ Godown is available for Rent in Phase 3 Pushpanjali Nagar, Agra for 14,000   Warehouse/ Godown is available for Rent in Phase 3 Pushpanjali Nagar, Agra for 14,000"
low,"  Warehouse/ Godown is available for Rent in Ram Bagh, Agra for 1.0 Lac(s)   Warehouse/ Godown is available for Rent in Ram Bagh, Agra for 1.0 Lac(s)"
medium,"  Warehouse/ Godown is available for Rent in Phase 1 Taj Nagari, Agra for 9,000   Warehouse/ Godown is available for Rent in Phase 1 Taj Nagari, Agra for 9,000"
low,"  Warehouse/ Godown is available for Rent in Namner, Agra for 25,000   Warehouse/ Godown is available for Rent in Namner, Agra for 25,000"
low,"  Warehouse/ Godown is available for Rent in Shahganj, Agra for 20,000   Warehouse/ Godown is available for Rent in Shahganj, Agra for 20,000"
low,"  Warehouse/ Godown is available for Rent in Shastri Puram, Agra for 18,000   Warehouse/ Godown is available for Rent in Shastri Puram, Agra for 18,000"
low,"  Warehouse/ Godown is available for Rent in , Agra for 20,000   Warehouse/ Godown is available for Rent in , Agra for 20,000"
low,"  Warehouse/ Godown is available for Rent in Rohta, Agra for 20,000   Warehouse/ Godown is available for Rent in Rohta, Agra for 20,000"
low,"  Warehouse/ Godown is available for Rent in Bichpuri, Agra for 25,000   Warehouse/ Godown is available for Rent in Bichpuri, Agra for 25,000"
low,"  Warehouse/ Godown is available for Rent in Shastri Puram, Agra for 70,000   Warehouse/ Godown is available for Rent in Shastri Puram, Agra for 70,000"
medium,"The warehouse is available for rent. It is a good location property. Please contact for more details   Warehouse/ Godown is available for Rent in Ramnagar Khandauli, Agra for 40,000"
low,"  Warehouse/ Godown is available for Rent in Agra Cantt, Agra for 25,000   Warehouse/ Godown is available for Rent in Agra Cantt, Agra for 25,000"
low,"  Warehouse/ Godown is available for Rent in , Agra for 55,000   Warehouse/ Godown is available for Rent in , Agra for 55,000"
low,"  Warehouse/ Godown is available for Rent in Balkeshwar Road, Agra for 15,000   Warehouse/ Godown is available for Rent in Balkeshwar Road, Agra for 15,000"
low," If you are looking for a Warehouse/ Godown, then here's your chance to get the best deal. An exclus   Warehouse/ Godown is available for Rent in Khandari, Agra for 15,000"
medium,"  Warehouse/ Godown is available for Rent in Kargil Petrol Pump, Agra for 12,000   Warehouse/ Godown is available for Rent in Kargil Petrol Pump, Agra for 12,000"
low,"  Warehouse/ Godown is available for Rent in Sewla Jatt, Agra for 1.50 Lac(s)   Warehouse/ Godown is available for Rent in Sewla Jatt, Agra for 1.50 Lac(s)"
high,"commercial warehouse with  teen shaded  located in kuberpur agra uttar pradesh. Well connected to ag 25000 Sq-ft Warehouse/ Godown is available for Rent in Jalesar Road, Agra for 1.20 Lac(s)"
medium,"1000 Sqft plot on rent for commercial use.   Warehouse/ Godown is available for Rent in Bhushan Nagar, Ahmadnagar for 12,500"
high,"Near to Shirdi Airport at Sainagar, Talegaon Dighe, Sangamner, Ahamadnagar   Warehouse/ Godown is available for Rent in Sangamner, Ahmadnagar for 40,000"
low,"The warehouse is available for rent. It is a good location property. Please contact for more details   Warehouse/ Godown is available for Rent in Ahmednagar, Ahmadnagar for 20,000"
low,"  Warehouse/ Godown is available for Rent in Agarkar Mala, Ahmadnagar for 10,000   Warehouse/ Godown is available for Rent in Agarkar Mala, Ahmadnagar for 10,000"
low,"  Warehouse/ Godown is available for Rent in Walunj, Ahmadnagar for 2.0 Lac(s)   Warehouse/ Godown is available for Rent in Walunj, Ahmadnagar for 2.0 Lac(s)"
low,"  Warehouse/ Godown is available for Rent in Kedgaon, Ahmadnagar for 2.40 Lac(s)   Warehouse/ Godown is available for Rent in Kedgaon, Ahmadnagar for 2.40 Lac(s)"
high,"Warehouse available for rent or long lease at prime location of Ahmedabad Kheda, Aslali, Kanera. War 27300 Sq-ft Warehouse/ Godown is available for Rent in Aslali, Ahmedabad for 3.36 Lac(s)"
high,"Our company has been serving clients in Aslali, Jetalpur, Bareja, Kanera, Kheda and other areas for  166700 Sq-ft Warehouse/ Godown is available for Rent in Bhayala, Ahmedabad for 10.0 Lac(s)"
high,"Grade A warehouses and industrial sheds strategically located in prime industrial hubs of Ahmedabad, 36250 Sq-ft Warehouse/ Godown is available for Rent in Aslali, Ahmedabad for 3.25 Lac(s)"
high,"This spacious warehouse is available for rent in Rajoda College Pachal, Rajoda. The plot area covers 150000 Sq-ft Warehouse/ Godown is available for Rent in Rajoda, Ahmedabad for 29.70 Lac(s)"
medium,"This warehouse offers strategic location, customizable space, modern infrastructure, and costEffecti   Warehouse/ Godown is available for Rent in Sanand, Ahmedabad for 3.40 Lac(s)"
high,"Warehouse available for rent or long lease at prime location of Ahmedabad of Bavla, Sanand, Changoda 39000 Sq-ft Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 4.20 Lac(s)"
high,"  Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 1.71 Lac(s)   Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 1.71 Lac(s)"
high,"THE PROPERTY SOURROUNDING WITH BEST LOCALITY LIKE BHADAJ KRISHNA MANDIR , BHADAJ VILLLAGE AND SP RIN 4500 Sq-ft Warehouse/ Godown is available for Rent in Bhadaj, Ahmedabad for 58,000"
high,"30000 TO 900000 SQ FT WE HAVE MANY PROPERTIES LIKE FACTORY, INDUSTRIAL SHED, WAREHOUSE, GODOWN, LAND 60000 Sq-ft Warehouse/ Godown is available for Rent in Aslali, Ahmedabad for 5.20 Lac(s)"
high,"Warehouse available for rent or long lease at prime location of Ahmedabad of Kheda, Aslali, Kanera.  16900 Sq-ft Warehouse/ Godown is available for Rent in Aslali, Ahmedabad for 2.80 Lac(s)"
high,"this property rent as per market low price and facing Este west facing. 5000 Sq-ft Warehouse/ Godown is available for Rent in Zundal, Ahmedabad for 64,000"
high,"Widely spread across a super area of 900sqft, this warehousegodown located in Sanand - Sarkhej Road, 900 Sq-ft Warehouse/ Godown is available for Rent in Sanand Sarkhej Road, Ahmedabad for 9,500"
high,"AVAILABLE MANY OPTIONS FOR WAREHOUSE, INDUSTRIAL SHED, GODOWN, FACTORY, STORAGE WITH GOOD FACILITY O 6000 Sq-ft Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 6.50 Lac(s)"
high,"WAREHOUSE  GODOWN INDUSTRIAL SHED  FACTORY  WE HAVE MORE OPTION AVAILABLE 10000 TO 700000 SQ FT IN P 220000 Sq-ft Warehouse/ Godown is available for Rent in Sanand, Ahmedabad for 23.98 Lac(s)"
high,"AVAILABLE INDUSTRIAL SHED, WAREHOUSE, FACTORY, GODOWN IN OUR ALL OVER GUJARAT. SUITABLE FOR MNC COMP 100000 Sq-ft Warehouse/ Godown is available for Rent in Aslali, Ahmedabad for 10.0 Lac(s)"
high,"Shed For rent Prime Location Ognaj circle,S.P Ring Road 3800 Sq.Yd Rent  81,000 Sutebal For Home Dec 4000 Sq-ft Warehouse/ Godown is available for Rent in Sardar Patel Ring Road, Ahmedabad for 85,000"
high,"Warehouse  Godown Spaces for RENT7 Godown Individual Spaces Total  4400 SQFT. Built upGround Floor14   Warehouse/ Godown is available for Rent in Sarkhej Gandhinagar Highway, Ahmedabad for 98,000"
high,"An Industrial Warehouse is Available for rent Near Ahmedabad with all the facilities. Property is ce 12600 Sq-ft Warehouse/ Godown is available for Rent in Vasna Chacharavadi, Ahmedabad for 2.50 Lac(s)"
high,"Covering a vast super area of 20,000 sqft, this warehousegodown located in a prestigious commercial  45000 Sq-ft Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 4.0 Lac(s)"
high,"rcc, prime location ready to move, good trasport connectivity   Warehouse/ Godown is available for Rent in Sanand Sarkhej Road, Ahmedabad for 60,000"
high,"We find pleasure to introduce ourselves as one of the specialist industrial proeprty leading agent i 6000 Sq-ft Warehouse/ Godown is available for Rent in Aslali, Ahmedabad for 70,000"
high,"Fully developed warehouse with all facilities and office space , labour room, Loading and un loading 9000 Sq-ft Warehouse/ Godown is available for Rent in Kamod, Ahmedabad for 1.0 Lac(s)"
medium,"Radymade furnichar plastic godown coureer company fabrication works layak best locetion   Warehouse/ Godown is available for Rent in Narolgam, Ahmedabad for 70,000"
high,"Available 37000 sq ft warehouse on lease at Aslali. For more details and site visit please contact u 37000 Sq-ft Warehouse/ Godown is available for Rent in Aslali, Ahmedabad for 6.84 Lac(s)"
high,"Very nice location and well maintain shed with 30ft height and also fire safety facility is availabl 50000 Sq-ft Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 7.50 Lac(s)"
high,"this warehouse is well mainted and prime location and main road touch and rcc conctrotion and shed t 6000 Sq-ft Warehouse/ Godown is available for Rent in Sarkhej, Ahmedabad for 1.10 Lac(s)"
high,"Warehouse located in one of the posh area of Ahmedabad with good locality around and also has all th 8000 Sq-ft Warehouse/ Godown is available for Rent in Sarkhej, Ahmedabad for 1.50 Lac(s)"
high,"Four warehouses, 2 adjacentCan be use as single unit   Warehouse/ Godown is available for Rent in Moraiya, Ahmedabad for 12,500"
high,"Prime Location, New Construction, Power And Water Supply Available...Others Options Available... War 57000 Sq-ft Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 6.75 Lac(s)"
high,"very well known industrial warehouse of changodar area, suitable for loading and unlading easily .   500 Sq-yrd Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 48,750"
high,"Our company has been serving clients in Aslali, Jetalpur, Bareja, Kanera, Kheda and other areas for  100000 Sq-ft Warehouse/ Godown is available for Rent in Bavla, Ahmedabad for 7.20 Lac(s)"
high,"Grade A warehouses and industrial sheds strategically located in prime industrial hubs of Ahmedabad, 101500 Sq-ft Warehouse/ Godown is available for Rent in Jetalpur, Ahmedabad for 8.40 Lac(s)"
high,"Industrial land for sale in prime location of Changodar which is main road facing 1000 Sq-yrd Warehouse/ Godown is available for Rent in Changodar, Ahmedabad for 1.26 Lac(s)"
medium,"This warehouse offers strategic location, customizable space, modern infrastructure, and costEffecti   Warehouse/ Godown is available for Rent in Sanand, Ahmedabad for 4.41 Lac(s)"
