cScore,merged_col
medium,"Presenting a newly constructed industrial shed for sale in Bakrol, Ahmedabad – a prime property loca   Industrial Shed is available for Sale in Bakrol, Ahmedabad for 1.3 Crore(s)"
medium,"INDUSTRIAL SHED WITH 24 HOUR WATER SUPPLY AND ALL INDUSTRIAL USE LIKE CLOTHING BUSINEES, FURNITURE,  570 Sq-ft Industrial Shed is available for Sale in Shawadi, Ahmedabad for 41.0 Lac(s)"
high,"Located in the bustling city of Ahmedabad, this exceptional industrial shed presents a fantastic opp 1250 Sq-ft Industrial Shed is available for Sale in Kathwada, Ahmedabad for 37.0 Lac(s)"
high,"Location santej RCC construction Shed 260 Sqyd Net 2 labour washroom 1 office  privet washroom 247 H 255 Sq-yrd Industrial Shed is available for Sale in Santej, Ahmedabad for 95.0 Lac(s)"
high,"An Industrial Warehouse is Available for rent Near Ahmedabad with all the facilities. Property is ce 25600 Sq-ft Industrial Shed is available for Sale in Changodar, Ahmedabad for 7.5 Crore(s)"
medium,"Industrial shed is available for sale. It has a plot area of 155 sq-yrd, it is a good location prope   Industrial Shed is available for Sale in Aadarsh Estate 2, Ahmedabad for 65.0 Lac(s)"
high,"Very nice location 11200 sq yard land 60000 sq ft shed 35 feet height 30 labour room, 450 kv power,  11200 Sq-yrd Industrial Shed is available for Sale in Bareja, Ahmedabad for 12.5 Crore(s)"
high,"2221 SQ YD Factory IN KATHWADA .This industrial shed with steel and RCC roofing is robustly construc 2221 Sq-yrd Industrial Shed is available for Sale in Kathwada GIDC, Ahmedabad for 11.5 Crore(s)"
high,"RCC New Industrial Shed on lease and sale. Ground floor height 18FT and 1st floor 12ft height. From    Industrial Shed is available for Sale in Changodar, Ahmedabad for 1.2 Crore(s)"
high,"prime location industrial shed for sell in santej ahmedabad. 3290 Sq-yrd Industrial Shed is available for Sale in Santej, Ahmedabad for 10.4 Crore(s)"
high,"sale : 11000 sq yd plot with 70000 sq ft Brand new  shed , 10000 sq ft RCC construction ,1 borewell  11000 Sq-yrd Industrial Shed is available for Sale in Changodar, Ahmedabad for 25.0 Crore(s)"
high,"This  industrial SHED ready to sale  of 323 SQ.YARD . This industrial property located at bakrol. Th   Industrial Shed is available for Sale in Bakrol, Ahmedabad for 65.0 Lac(s)"
high,"This Industrial Shed is located in the wellEstablished suryam industrial park, nikol, ahmedabad. Wit   Industrial Shed is available for Sale in Nikol, Ahmedabad for 1.5 Crore(s)"
