cScore,merged_col
medium,"This spacious industrial building, available for rent in Shastri Puram, Agra, offers a prime locatio   Industrial Building is available for Rent in Shastri Puram, Agra for 85,000"
medium,"  Industrial Building is available for Rent in Kalwari, Agra for 80,000   Industrial Building is available for Rent in Kalwari, Agra for 80,000"
medium,"Hello…! Here is an ultimate offer for the one who is planning to set up any business venture and gai   Industrial Building is available for Rent in Shastri Puram, Agra for 7.50 Lac(s)"
medium,"  Industrial Building is available for Rent in Fatehabad Road, Agra for 60,000   Industrial Building is available for Rent in Fatehabad Road, Agra for 60,000"
high,"AVAILABLE WAREHOUSE, INDUSTRIAL SHED FROM  15000 SQFT. 25000 SQFT. 30000 SQFT. 40000 SQFT.  50000 SQ 60000 Sq-ft Industrial Building is available for Rent in Changodar, Ahmedabad for 6.0 Lac(s)"
high,"AVAILABLE WAREHOUSE AND INDUSTRIAL SHED. AVAILABLE OPTIONS AS 20000 SQ. FT 30000 SQ. FT  35000 SQ. F 70000 Sq-ft Industrial Building is available for Rent in Changodar, Ahmedabad for 6.0 Lac(s)"
high,"Industrial Building available for rent or long lease at prime location of Ahmedabad Kheda, Aslali, K 39000 Sq-ft Industrial Building is available for Rent in Aslali, Ahmedabad for 5.10 Lac(s)"
medium,"Sub  Industrial  GROUND RCC AND 1ST PEB SHED WAREOUSE  for rent available1. property is well maintai   Industrial Building is available for Rent in Changodar, Ahmedabad for 2.50 Lac(s)"
high,"Prime LocationAny Others Options Available Changodar, Bavla, Sanand, Aslali, Odhav, Kathwada, Naroda   Industrial Building is available for Rent in Sanand, Ahmedabad for 3.90 Lac(s)"
medium,"  Industrial Building is available for Rent in Piplaj, Ahmedabad for 1.0 Lac(s)   Industrial Building is available for Rent in Piplaj, Ahmedabad for 1.0 Lac(s)"
medium,"Conducting business, now a walk in the park: Ground + 4 storeyed complex, 240 individual business ho   Industrial Building is available for Rent in Maninagar, Ahmedabad for 47,000"
medium,"Industrial building is available for rent. It is a good location property. Please contact for more d   Industrial Building is available for Rent in Changodar, Ahmedabad for 4.0 Lac(s)"
high,"Luxurious Fully Furnished house is located near rajpath rangoli road, off sindhubhavan. Fully Furnis 350 Sq-yrd Industrial Building is available for Rent in Bodakdev, Ahmedabad "
high,"Covered 555 sq yard of which 111 sq. yard is rcc which includes 6 offices of 11 by 15  sq. ft each.  922 Sq-yrd Industrial Building is available for Rent in Kathwada, Ahmedabad "
low,"  Industrial Building is available for Rent in Chharodi Sanand, Ahmedabad    Industrial Building is available for Rent in Chharodi Sanand, Ahmedabad "
low,"  Industrial Building is available for Rent in Sanand, Ahmedabad    Industrial Building is available for Rent in Sanand, Ahmedabad "
medium,"  Industrial Building is available for Rent in Parbatpura, Ajmer for 25,000   Industrial Building is available for Rent in Parbatpura, Ajmer for 25,000"
low,"  Industrial Building is available for Rent in , Akola for 15,000   Industrial Building is available for Rent in , Akola for 15,000"
medium,"  Industrial Building is available for Rent in Tala Nagri, Aligarh for 60,000   Industrial Building is available for Rent in Tala Nagri, Aligarh for 60,000"
medium,"  Industrial Building is available for Rent in Hanuman Ganj, Allahabad for 4.0 Lac(s)   Industrial Building is available for Rent in Hanuman Ganj, Allahabad for 4.0 Lac(s)"
medium,"on main road, with power connection 16 hp with office space  built-in sperately  nine four five four   Industrial Building is available for Rent in Chak Daudnagar, Allahabad for 40,000"
low,"  Industrial Building is available for Rent in Sikandra, Allahabad    Industrial Building is available for Rent in Sikandra, Allahabad "
