cScore,merged_col
high,"OPEN LAND CAN BE TAKE ON RENT AS SMALL PLOTING. 130000 Sq-ft Commercial Land is available for Rent in Bodhjung Nagar, Agartala for 2.0 Lac(s)"
medium,"Unlock the potential of your business with this prime commercial land for rent located in the bustli 4500 Sq-yrd Commercial Land is available for Rent in Nuhai Industrial area, Agra for 1.0 Lac(s)"
low,"3000 Sq-ft Commercial Land is available for Rent in Fatehabad Road, Agra for 60,000 3000 Sq-ft Commercial Land is available for Rent in Fatehabad Road, Agra for 60,000"
high,"14400 Sq-yrd Commercial Land is available for Rent in Taj Nagri, Agra for 1.0 Lac(s) 14400 Sq-yrd Commercial Land is available for Rent in Taj Nagri, Agra for 1.0 Lac(s)"
low,"1500 Sq-yrd Commercial Land is available for Rent in Bichpuri, Agra for 2.0 Lac(s) 1500 Sq-yrd Commercial Land is available for Rent in Bichpuri, Agra for 2.0 Lac(s)"
low,"4 Bigha Commercial Land is available for Rent in Shahganj, Agra for 50,000 4 Bigha Commercial Land is available for Rent in Shahganj, Agra for 50,000"
medium,"6000 Sq-ft Industrial Land is available for Rent in NH 2, Agra for 2.0 Lac(s) 6000 Sq-ft Industrial Land is available for Rent in NH 2, Agra for 2.0 Lac(s)"
medium,"4000 Sq-yrd Commercial Land is available for Rent in Bichpuri, Agra for 29,999 4000 Sq-yrd Commercial Land is available for Rent in Bichpuri, Agra for 29,999"
medium,"60000 Sq-ft Industrial Land is available for Rent in Fatehabad Road, Agra for 5.0 Lac(s) 60000 Sq-ft Industrial Land is available for Rent in Fatehabad Road, Agra for 5.0 Lac(s)"
low,"531 Sq-ft Commercial Land is available for Rent in Sector 16B Awas Vikas Colony, Agra for 25,000 531 Sq-ft Commercial Land is available for Rent in Sector 16B Awas Vikas Colony, Agra for 25,000"
medium,"Commercial land is available are all basic amenities watchman hut, car parking, truck axis, latrine- 35000 Sq-ft Commercial Land is available for Rent in Firozabad Road, Agra for 1.25 Lac(s)"
medium,"2880 Sq-yrd Commercial Land is available for Rent in Sector 5 Avas Vikas Colony, Agra for 35,000 2880 Sq-yrd Commercial Land is available for Rent in Sector 5 Avas Vikas Colony, Agra for 35,000"
medium,"4500 Sq-ft Commercial Land is available for Rent in New Agra Colony, Agra for 4.10 Lac(s) 4500 Sq-ft Commercial Land is available for Rent in New Agra Colony, Agra for 4.10 Lac(s)"
low,"750 Sq-yrd Commercial Land is available for Rent in Kheragarh, Agra for 80,000 750 Sq-yrd Commercial Land is available for Rent in Kheragarh, Agra for 80,000"
low,"10000 Sq-ft Commercial Land is available for Rent in Trans Yamuna Colony, Agra for 1.20 Lac(s) 10000 Sq-ft Commercial Land is available for Rent in Trans Yamuna Colony, Agra for 1.20 Lac(s)"
medium,"on road prime location 2300 Sq-ft Commercial Land is available for Rent in Kargil Petrol Pump, Agra for 1.50 Lac(s)"
medium,"1500 Sq-yrd Commercial Land is available for Rent in NH2 Agra, Agra for 15,000 1500 Sq-yrd Commercial Land is available for Rent in NH2 Agra, Agra for 15,000"
medium,"its a commercial on road. property for showroom,restaurant,play school ,Bank  ,etc 2250 Sq-ft Commercial Land is available for Rent in Tajganj, Agra for 1.25 Lac(s)"
medium,"55000 Sq-ft Commercial Land is available for Rent in , Agra for 1.50 Lac(s) 55000 Sq-ft Commercial Land is available for Rent in , Agra for 1.50 Lac(s)"
low,"400 Sq-yrd Commercial Land is available for Rent in Bichpuri, Agra for 60,000 400 Sq-yrd Commercial Land is available for Rent in Bichpuri, Agra for 60,000"
high,"its perfect for you 13680 Sq-yrd Industrial Land is available for Rent in Jalesar Road, Agra for 2.75 Lac(s)"
medium,"2 km from EXPRESSWAY  On road land with boundary on hathras road 30000 Sq-ft Commercial Land is available for Rent in Hathras Road Foundry Nagar, Agra for 1.50 Lac(s)"
medium,"30000 Sq-ft Industrial Land is available for Rent in Kuberpur, Agra for 90,000 30000 Sq-ft Industrial Land is available for Rent in Kuberpur, Agra for 90,000"
low,"5000 Sq-yrd Commercial Land is available for Rent in Shamshabad, Agra for 1.0 Lac(s) 5000 Sq-yrd Commercial Land is available for Rent in Shamshabad, Agra for 1.0 Lac(s)"
medium,"10000 Sq-ft Commercial Land is available for Rent in Sikandra, Agra for 8,000 10000 Sq-ft Commercial Land is available for Rent in Sikandra, Agra for 8,000"
low,"36 Sq-m Commercial Land is available for Rent in Dayal Bagh, Agra for 50,000 36 Sq-m Commercial Land is available for Rent in Dayal Bagh, Agra for 50,000"
high,"The property is on road at Farahdistrict- Mathura. Its a rectangular land, boundary wall on all side 26000 Sq-ft Commercial Land is available for Rent in Mathura Road, Agra for 95,000"
low,"200 Sq-yrd Commercial Land is available for Rent in Narsi Village, Agra for 20,000 200 Sq-yrd Commercial Land is available for Rent in Narsi Village, Agra for 20,000"
medium,"1862 Sq-ft Commercial Land is available for Rent in Dayal Bagh, Agra  1862 Sq-ft Commercial Land is available for Rent in Dayal Bagh, Agra "
low,"950 Sq-ft Commercial Land is available for Rent in Shastri Puram, Agra  950 Sq-ft Commercial Land is available for Rent in Shastri Puram, Agra "
medium,"Spanning 30,000 sq. ft., this commercial land in Wadgaon Gupta, Ahmadnagar offers ample space for a  30000 Sq-ft Commercial Land is available for Rent in Wadgaon Gupta, Ahmadnagar for 90,000"
medium,"Spanning 108,900 square feet, this commercial land in Newasa Fata, Ahmadnagar, offers ample space fo 108900 Sq-ft Commercial Land is available for Rent in Newasa Fata, Ahmadnagar for 2.50 Lac(s)"
low,"2000 Sq-ft Commercial Land is available for Rent in Savedi, Ahmadnagar for 40,000 2000 Sq-ft Commercial Land is available for Rent in Savedi, Ahmadnagar for 40,000"
low,"6000 Sq-ft Commercial Land is available for Rent in Shirdi, Ahmadnagar for 1.50 Lac(s) 6000 Sq-ft Commercial Land is available for Rent in Shirdi, Ahmadnagar for 1.50 Lac(s)"
low,"1 Sq-ft Commercial Land is available for Rent in Arangaon, Ahmadnagar for 1.0 Lac(s) 1 Sq-ft Commercial Land is available for Rent in Arangaon, Ahmadnagar for 1.0 Lac(s)"
low,"10000 Sq-ft Commercial Land is available for Rent in Sangamner, Ahmadnagar for 40,000 10000 Sq-ft Commercial Land is available for Rent in Sangamner, Ahmadnagar for 40,000"
low,"12000 Sq-ft Industrial Land is available for Rent in MIDC, Ahmadnagar for 60,000 12000 Sq-ft Industrial Land is available for Rent in MIDC, Ahmadnagar for 60,000"
low,"3000 Sq-ft Commercial Land is available for Rent in MIDC, Ahmadnagar for 15,000 3000 Sq-ft Commercial Land is available for Rent in MIDC, Ahmadnagar for 15,000"
medium,"2 Acre Industrial Land is available for Rent in Shrirampur, Ahmadnagar for 2.0 Lac(s) 2 Acre Industrial Land is available for Rent in Shrirampur, Ahmadnagar for 2.0 Lac(s)"
high,"Industrial Plot for Rent in RajodaLocated in Radhe Industrial Park, Aaditya Anmol Park Road, Rajoda, 3000 Sq-yrd Industrial Land is available for Rent in Rajoda, Ahmedabad for 2.16 Lac(s)"
low,"800 Sq-ft Commercial Land is available for Rent in Shyamal, Ahmedabad for 10,000 800 Sq-ft Commercial Land is available for Rent in Shyamal, Ahmedabad for 10,000"
high,"Available for Rent5000,7000,12000 var FPSG highway to SP ring road connected  Gokul roadRent100var 7000 Sq-yrd Commercial Land is available for Rent in Ognaj, Ahmedabad for 7.0 Lac(s)"
high,"Indulge in a lifestyle of opulence and sophistication with our premium apartments, where elegance me 1600 Sq-yrd Commercial Land is available for Rent in Ognaj Gota Road, Ahmedabad for 2.72 Lac(s)"
high,"This land Suitable for banquit hall , Party lawn , Restaurant ,  Stock yards best for business , pro 13000 Sq-yrd Commercial Land is available for Rent in Gota, Ahmedabad for 10.40 Lac(s)"
medium,"new develop society in koteshwar,near to airport 3412 Sq-yrd Commercial Land is available for Rent in Motera, Ahmedabad for 4.10 Lac(s)"
high,"1700 sq.yard carpet plot with approx 20000 sq.ft construction done ideal for any big retail brand or 1700 Sq-yrd Commercial Land is available for Rent in Sindhu Bhavan Marg, Ahmedabad for 30.0 Lac(s)"
medium,"All type business Allow in Land prime location Land call for visit 10000 Sq-ft Commercial Land is available for Rent in Sardar Patel Ring Road, Ahmedabad for 15.0 Lac(s)"
high,"property established at sanand viramgam Highway. 7500 Sq-yrd Industrial Land is available for Rent in Sanand, Ahmedabad for 1.25 Lac(s)"
medium,"Property Details..This property is prime location and well maintained 24x7 hours security and cctv c 22000 Sq-ft Industrial Land is available for Rent in Changodar, Ahmedabad for 3.10 Lac(s)"
high,"East facing property na plot 5300 fp area 47700 Sq-ft Commercial Land is available for Rent in Hebatpur, Ahmedabad for 6.89 Lac(s)"
medium,"Long Lease Available : Warehouse 70000 sq ft shed, 30 ft height, 25000 Sq yd plot, power and water c 25000 Sq-yrd Industrial Land is available for Rent in Sanand, Ahmedabad for 10.50 Lac(s)"
medium,"The plot is Located at 18 Mtr  2 Road Corner 1.5 Km From S P Ring Road Science City in New Developin 12300 Sq-yrd Commercial Land is available for Rent in Bhadaj, Ahmedabad for 1.85 Lac(s)"
medium,"road touch plot 8000 Sq-yrd Industrial Land is available for Rent in Sarkhej Gandhinagar Highway, Ahmedabad for 4.80 Lac(s)"
medium,"good location prime Poperty main road all business allow call more information..... 600 Sq-yrd Commercial Land is available for Rent in Sardar Patel Ring Road, Ahmedabad for 90,000"
medium,"best property for godowns spaces godowns 4000 Sq-yrd Industrial Land is available for Rent in Sarkhej Gandhinagar Highway, Ahmedabad for 1.50 Lac(s)"
high,"Cozy yet elegant, this home boasts hardwood floors, gourmet kitchen, and a welcoming firepla Immacul 1500 Sq-yrd Commercial Land is available for Rent in Iscon Ambli Road, Ahmedabad for 3.20 Lac(s)"
medium,"new road tipe near by sabar mati univercity 2500 Sq-yrd Commercial Land is available for Rent in Gota, Ahmedabad for 24,000"
medium,"Prime commercial land available for rent in Sanathal, Ahmedabad. Ideal for a variety of business ven 7000 Sq-yrd Commercial Land is available for Rent in Sanathal, Ahmedabad for 4.97 Lac(s)"
