cScore,merged_col
medium,"  Commercial Shop is available for Rent in Battala, Agartala for 20,000   Commercial Shop is available for Rent in Battala, Agartala for 20,000"
low,"  Commercial Shop is available for Rent in , Agartala for 5.0 Lac(s)   Commercial Shop is available for Rent in , Agartala for 5.0 Lac(s)"
medium,"  Commercial Shop is available for Rent in Dhaleswar, Agartala for 5,000   Commercial Shop is available for Rent in Dhaleswar, Agartala for 5,000"
medium,"  Commercial Shop is available for Rent in Old RMS Chowmuhani, Agartala for 1.0 Lac(s)   Commercial Shop is available for Rent in Old RMS Chowmuhani, Agartala for 1.0 Lac(s)"
high,"Newly build up  building with 3200 sq feet per floor its a four storied building fully available for   Commercial Showroom is available for Rent in Krishna Nagar, Agartala "
medium,"Available for rent in Phase 1 Taj Nagari, Agra, this commercial shop is a great opportunity for busi 1000 Sq-ft Commercial Shop is available for Rent in Phase 1 Taj Nagari, Agra for 19,000"
low,"  Commercial Showroom is available for Rent in Gwalior Road, Agra for 80,000   Commercial Showroom is available for Rent in Gwalior Road, Agra for 80,000"
medium,"Discover an exceptional commercial showroom for rent in the bustling area of Sikandra, Agra. This pr   Commercial Showroom is available for Rent in Sikandra, Agra for 40,000"
medium,"  Commercial Shop is available for Rent in Pratap Nagar, Agra for 7,500   Commercial Shop is available for Rent in Pratap Nagar, Agra for 7,500"
medium,"This Commercial Showroom at Ground overlooks Main Road offering a location most suitable for busines   Commercial Showroom is available for Rent in Kamla nagar, Agra for 1.10 Lac(s)"
medium,"Located at OP Chains Anthela Street, this high-street market property boasts direct access from a 10   Commercial Showroom is available for Rent in Sector 12 Avas Vikas Colony, Agra for 50,000"
medium,"we are providing you a well furnished commercial shop, and we are providing you a funtiture with thi   Commercial Shop is available for Rent in Raja Ki Mandi, Agra for 8,100"
medium,"Commercial Shop at first floor offering a location most suitable for business purposes. The Commerci   Commercial Shop is available for Rent in NH2 Agra, Agra for 20,000"
medium,"  Commercial Shop is available for Rent in Kamla nagar, Agra for 10,000   Commercial Shop is available for Rent in Kamla nagar, Agra for 10,000"
medium,"  Commercial Showroom is available for Rent in Rohta, Agra for 32,000   Commercial Showroom is available for Rent in Rohta, Agra for 32,000"
medium,"  Commercial Shop is available for Rent in , Agra for 17,000   Commercial Shop is available for Rent in , Agra for 17,000"
high,"Prime LOWER GROUND FLOOR, Commercial Space Available in Agras Coveted LocationLooking for the perfec   Commercial Shop is available for Rent in Sikandra Bodla Road, Agra for 50,000"
low,"  Commercial Shop located on Ground floor provides breathing space on front as it overlooks Main Roa   Commercial Shop is available for Rent in Kamla nagar, Agra for 60,000"
medium," This Commercial Shop spacious apartment was constructed approx. 5 to 10 years years back.    Commercial Shop is available for Rent in Mahatma Gandhi Road, Agra for 1.75 Lac(s)"
medium,"  Commercial Showroom is available for Rent in Sector 11 Avas Vikas Colony, Agra for 20,000   Commercial Showroom is available for Rent in Sector 11 Avas Vikas Colony, Agra for 20,000"
medium,"  Commercial Shop is available for Rent in Manas Nagar, Agra for 30,000   Commercial Shop is available for Rent in Manas Nagar, Agra for 30,000"
medium,"  Commercial Shop is available for Rent in , Agra for 10,000   Commercial Shop is available for Rent in , Agra for 10,000"
high,"we have own a multifloor building with having 3 floor rented out already to hdfc bank and restuarant   Commercial Showroom is available for Rent in Kargil Petrol Pump, Agra for 2.0 Lac(s)"
medium,"  Commercial Shop is available for Rent in Nai Ki Mandi, Agra for 25,000   Commercial Shop is available for Rent in Nai Ki Mandi, Agra for 25,000"
medium,"prime location   Commercial Showroom is available for Rent in Panchayati, Agra for 2.50 Lac(s)"
medium,"  Commercial Shop is available for Rent in Sector 11 Avas Vikas Colony, Agra for 22,000   Commercial Shop is available for Rent in Sector 11 Avas Vikas Colony, Agra for 22,000"
low,"  Commercial Shop is available for Rent in Arjun Nagar, Agra for 8,000   Commercial Shop is available for Rent in Arjun Nagar, Agra for 8,000"
low,"  Commercial Shop is available for Rent in Outer Ring Road, Agra for 4,000   Commercial Shop is available for Rent in Outer Ring Road, Agra for 4,000"
high,"prime location on road commercial space 2800 Sq-ft Commercial Showroom is available for Rent in , Agra for 40,000"
medium,"full furnished showroom suitable for 2w3w4w , furniture , clothing showroom, banks.   Commercial Showroom is available for Rent in Bhagwan Talkies, Agra for 3.50 Lac(s)"
medium,"  Commercial Showroom is available for Rent in Tedi Baghia, Agra for 24,000   Commercial Showroom is available for Rent in Tedi Baghia, Agra for 24,000"
medium,"  Commercial Shop is available for Rent in Fatehabad Road, Agra for 70,000   Commercial Shop is available for Rent in Fatehabad Road, Agra for 70,000"
medium,"  Commercial Shop is available for Rent in Kamla nagar, Agra for 25,000   Commercial Shop is available for Rent in Kamla nagar, Agra for 25,000"
high,"  Commercial Showroom is available for Rent in Sanjay Place, Agra for 1.25 Lac(s)   Commercial Showroom is available for Rent in Sanjay Place, Agra for 1.25 Lac(s)"
medium,"  Commercial Showroom is available for Rent in Gandhi Nagar, Agra for 1.25 Lac(s)   Commercial Showroom is available for Rent in Gandhi Nagar, Agra for 1.25 Lac(s)"
medium,"  Commercial Shop is available for Rent in Kamla nagar, Agra for 12,500   Commercial Shop is available for Rent in Kamla nagar, Agra for 12,500"
medium,"This spacious Commercial Showroom is located at Ground floor . The Commercial Showroom Apartment con   Commercial Showroom is available for Rent in Kamla nagar, Agra for 1.50 Lac(s)"
medium,"a fully furnished flat on rent in dayalbag   Commercial Showroom is available for Rent in , Agra for 80,000"
medium,"  Commercial Shop is available for Rent in Mahatma Gandhi Road, Agra for 1.0 Lac(s)   Commercial Shop is available for Rent in Mahatma Gandhi Road, Agra for 1.0 Lac(s)"
medium,"  Commercial Showroom is available for Rent in Terhi Bagichi, Agra for 24,000   Commercial Showroom is available for Rent in Terhi Bagichi, Agra for 24,000"
medium,"Commercial shop is available for rent.   Commercial Shop is available for Rent in Belanganj, Agra for 50,000"
