cScore,merged_col
medium,"1 Acre Commercial Land is available for Sale in , Agartala for 2.5 Crore(s) 1 Acre Commercial Land is available for Sale in , Agartala for 2.5 Crore(s)"
low,"33600 Sq-ft Commercial Land is available for Sale in Bodhjung Nagar, Agartala for 1.2 Crore(s) 33600 Sq-ft Commercial Land is available for Sale in Bodhjung Nagar, Agartala for 1.2 Crore(s)"
medium,"10450 Sq-ft Commercial Land is available for Sale in , Agartala for 65.0 Lac(s) 10450 Sq-ft Commercial Land is available for Sale in , Agartala for 65.0 Lac(s)"
low,"7 Guntha Commercial Land is available for Sale in Bardowali, Agartala for 8.0 Crore(s) 7 Guntha Commercial Land is available for Sale in Bardowali, Agartala for 8.0 Crore(s)"
medium,"200 Acre Industrial Land is available for Sale in , Agartala for 60.0 Crore(s) 200 Acre Industrial Land is available for Sale in , Agartala for 60.0 Crore(s)"
high,"The Rs 1,550 crore special economic zone SEZ, to be set up along the Bangladesh border in Tripura, w 23328 Sq-ft Commercial Land is available for Sale in , Agartala for 31.6 Crore(s)"
high,"Prime Commercial Land for Sale in Khandari Crossing, Agra – situated right in the heart of the city, 3520 Sq-ft Commercial Land is available for Sale in Khandari Crossing, Agra for 5.0 Crore(s)"
high,"East facing, with pucca road, ideal space for setting up small manufacturing unit or can be used as  425 Sq-yrd Commercial Land is available for Sale in Kinari bazar, Agra for 6.0 Crore(s)"
high,"Prime NORTH Facing Plot for Sale in Arsena, AgraDelhi HighwayLocation Arsena, Main AgraDelhi Highway 8100 Sq-yrd Commercial Land is available for Sale in Runkata road, Agra for 1.8 Crore(s)"
medium,"Residential Plot for sale near IT park Shastri puram Agra 200 Gaj, plot near Market, School, Hospita 1790 Sq-ft Commercial Land is available for Sale in Shastri Puram, Agra for 1.8 Crore(s)"
medium,"172 Sq-yrd Commercial Land is available for Sale in Agra Shamshabad Raja Kherah Marg, Agra for 23.0  172 Sq-yrd Commercial Land is available for Sale in Agra Shamshabad Raja Kherah Marg, Agra for 23.0 Lac(s)"
medium,"Rectangular plot for light weight industry surrounded by factories and commercial plot. Well connect 650 Sq-yrd Industrial Land is available for Sale in Sikandra, Agra for 85.0 Lac(s)"
medium,"main road facing property...ADA approved.. property enclosed by boundary and gate 241 Sq-yrd Commercial Land is available for Sale in Agra Shamshabad Raja Kherah Marg, Agra for 96.40 Lac(s)"
medium,"Unlock the gateway to industrial excellence with this remarkable industrial land for sale in NH2 Agr 6735 Sq-yrd Industrial Land is available for Sale in NH2 Agra, Agra for 14.0 Crore(s)"
medium,"565 Sq-yrd Commercial Land is available for Sale in , Agra for 1.4 Crore(s) 565 Sq-yrd Commercial Land is available for Sale in , Agra for 1.4 Crore(s)"
medium,"400 Sq-yrd Commercial Land is available for Sale in Nehru Nagar, Agra for 8.0 Crore(s) 400 Sq-yrd Commercial Land is available for Sale in Nehru Nagar, Agra for 8.0 Crore(s)"
medium,"very good land on the main road suitable for hotels and commercial spaces 700 Sq-yrd Commercial Land is available for Sale in Fatehabad Road, Agra for 9.4 Crore(s)"
medium,"50 mtrs from main fatehabad road ideal for hotel,restaurant , showroomnear hotel pearl blue 175 Sq-yrd Commercial Land is available for Sale in Fatehabad Road, Agra for 2.0 Crore(s)"
medium,"Ideal property, if you are looking to make a good business investment. Available here is a Commercia 100 Sq-yrd Commercial Land is available for Sale in Dhanauli, Agra for 20.0 Lac(s)"
low,"1345 Sq-yrd Commercial Land is available for Sale in Etmadpur Madra, Agra for 30.0 Lac(s) 1345 Sq-yrd Commercial Land is available for Sale in Etmadpur Madra, Agra for 30.0 Lac(s)"
medium,"5500 Sq-ft Commercial Land is available for Sale in Belanganj, Agra for 20.0 Crore(s) 5500 Sq-ft Commercial Land is available for Sale in Belanganj, Agra for 20.0 Crore(s)"
low,"410 Sq-yrd Industrial Land is available for Sale in Artauni, Agra for 1.4 Crore(s) 410 Sq-yrd Industrial Land is available for Sale in Artauni, Agra for 1.4 Crore(s)"
medium,"188 Gaj Commercial Land is available for Sale in , Agra for 1.5 Crore(s) 188 Gaj Commercial Land is available for Sale in , Agra for 1.5 Crore(s)"
medium,"Length & breadth dimensions are : 110. 45 X 22 Sq-ft for this Commercial Land. 2430 Sq-ft Commercial Land is available for Sale in Agra Shamshabad Raja Kherah Marg, Agra for 3.5 Crore(s)"
medium,"Kargil Choraha to Karkunj on road corner two side open commercial use only plot plan to visits argen 500 Sq-yrd Commercial Land is available for Sale in Kargil Petrol Pump, Agra for 167.5 Crore(s)"
medium,"240 Sq-yrd Commercial Land is available for Sale in Kargil Petrol Pump, Agra for 7.6 Crore(s) 240 Sq-yrd Commercial Land is available for Sale in Kargil Petrol Pump, Agra for 7.6 Crore(s)"
medium,"600 Sq-yrd Commercial Land is available for Sale in Sikandra Bodla Road, Agra for 8.2 Crore(s) 600 Sq-yrd Commercial Land is available for Sale in Sikandra Bodla Road, Agra for 8.2 Crore(s)"
low,"4100 Bigha Industrial Land is available for Sale in , Agra for 2.4 Crore(s) 4100 Bigha Industrial Land is available for Sale in , Agra for 2.4 Crore(s)"
low,"1800 Sq-ft Commercial Land is available for Sale in Gwalior Road, Agra for 45.0 Lac(s) 1800 Sq-ft Commercial Land is available for Sale in Gwalior Road, Agra for 45.0 Lac(s)"
medium,"Ancestral Property With Clear Title. Rectangular Plot. The Usage Of Property Is Industrial And Is Be 550 Sq-ft Industrial Land is available for Sale in Sikandra, Agra for 80.0 Lac(s)"
low,"1100 Gaj Commercial Land is available for Sale in Runkata road, Agra for 1.2 Crore(s) 1100 Gaj Commercial Land is available for Sale in Runkata road, Agra for 1.2 Crore(s)"
medium,"6000 Sq-yrd Commercial Land is available for Sale in Pratap Pura, Agra for 90.0 Crore(s) 6000 Sq-yrd Commercial Land is available for Sale in Pratap Pura, Agra for 90.0 Crore(s)"
medium,"gated community, 500 meter from inner ring road 1980 Sq-ft Commercial Land is available for Sale in Agra Shamshabad Raja Kherah Marg, Agra for 1.0 Crore(s)"
medium,"This property on National highway 2 on prime location suitable for showrooms of automobiles and othe 800 Sq-yrd Commercial Land is available for Sale in NH2 Agra, Agra for 12.0 Crore(s)"
low,"100000 Sq-ft Commercial Land is available for Sale in Jeoni Mandi, Agra for 50.0 Crore(s) 100000 Sq-ft Commercial Land is available for Sale in Jeoni Mandi, Agra for 50.0 Crore(s)"
low,"1000 Sq-yrd Commercial Land is available for Sale in Shamshabad, Agra for 10.0 Lac(s) 1000 Sq-yrd Commercial Land is available for Sale in Shamshabad, Agra for 10.0 Lac(s)"
medium,"Embrace the future of your business with this expansive commercial land for sale in Ahmednagar, Maha 54000 Sq-ft Commercial Land is available for Sale in , Ahmadnagar for 4.0 Crore(s)"
