cScore,merged_col
high,"Property situated at part of Khasra No. 643, Mauza Village Bhaktupura, Tehra, Tehsil Kheragarh, Dist   Industrial Building is available for Sale in Kheragarh, Agra for 1.4 Crore(s)"
medium,"  Industrial Building is available for Sale in , Agra for 1.6 Crore(s)   Industrial Building is available for Sale in , Agra for 1.6 Crore(s)"
low,"  Industrial Building is available for Sale in Hathras Road Foundry Nagar, Agra for 44.0 Lac(s)   Industrial Building is available for Sale in Hathras Road Foundry Nagar, Agra for 44.0 Lac(s)"
low,"  Industrial Building is available for Sale in Shastri Puram, Agra for 1.2 Crore(s)   Industrial Building is available for Sale in Shastri Puram, Agra for 1.2 Crore(s)"
medium,"Factory built on a 1200 SQM plot in a government approved industrial area known as EPIP Agra which i   Industrial Building is available for Sale in Sikandra, Agra for 8.0 Crore(s)"
low,"  Industrial Building is available for Sale in Bansal Nagar, Agra for 7.0 Crore(s)   Industrial Building is available for Sale in Bansal Nagar, Agra for 7.0 Crore(s)"
medium,"Industrial building is available for sale. It has a Covered area of 10100 sqft, it is a good locatio   Industrial Building is available for Sale in Kuha, Ahmedabad for 6.0 Crore(s)"
medium,"Looking for an industrial building in a prime location This spacious property in Changodar, Ahmedaba   Industrial Building is available for Sale in Changodar, Ahmedabad for 2.6 Crore(s)"
high,"An industrial building is available for sale in the prime location of Phase 1, Vatva GIDC, Ahmedabad 2100 Sq-yrd Industrial Building is available for Sale in Phase 1 Vatva GIDC, Ahmedabad for 9.0 Crore(s)"
low,"  Industrial Building is available for Sale in Dudheshwar, Ahmedabad for 3.2 Crore(s)   Industrial Building is available for Sale in Dudheshwar, Ahmedabad for 3.2 Crore(s)"
medium,".Industrial building  is available for sale. It has a covered area of 1800 sq-ft, it is a good locat   Industrial Building is available for Sale in Rakhial, Ahmedabad for 1.2 Crore(s)"
low,"  Industrial Building is available for Sale in Odhav, Ahmedabad for 28.0 Lac(s)   Industrial Building is available for Sale in Odhav, Ahmedabad for 28.0 Lac(s)"
low,"  Industrial Building is available for Sale in Amraiwadi, Ahmedabad for 2.2 Crore(s)   Industrial Building is available for Sale in Amraiwadi, Ahmedabad for 2.2 Crore(s)"
low,"  Industrial Building is available for Sale in Naroda Road, Ahmedabad for 1.5 Crore(s)   Industrial Building is available for Sale in Naroda Road, Ahmedabad for 1.5 Crore(s)"
low,"  Industrial Building is available for Sale in Changodar, Ahmedabad for 3.6 Crore(s)   Industrial Building is available for Sale in Changodar, Ahmedabad for 3.6 Crore(s)"
low,"7000 Sq-ft Industrial Building is available for Sale in Changodar, Ahmedabad for 10.0 Crore(s) 7000 Sq-ft Industrial Building is available for Sale in Changodar, Ahmedabad for 10.0 Crore(s)"
low,"  Industrial Building is available for Sale in Santej, Ahmedabad for 6.8 Crore(s)   Industrial Building is available for Sale in Santej, Ahmedabad for 6.8 Crore(s)"
medium,"  Industrial Building is available for Sale in Rakhial, Ahmedabad for 1.2 Crore(s)   Industrial Building is available for Sale in Rakhial, Ahmedabad for 1.2 Crore(s)"
low,"  Industrial Building is available for Sale in Rakhial, Ahmedabad for 2.1 Crore(s)   Industrial Building is available for Sale in Rakhial, Ahmedabad for 2.1 Crore(s)"
medium,"  Industrial Building is available for Sale in , Ahmedabad    Industrial Building is available for Sale in , Ahmedabad "
medium,"its a 75000 aqua feet UPVC manufacturing unit which have two floor , on ground floor it has factory    Industrial Building is available for Sale in , Ajmer for 1.5 Crore(s)"
low,"Property Situated on Main Highway and also having factory shed, readily usable for any establishment 15000 Sq-yrd Industrial Building is available for Sale in , Ajmer "
medium,"  Industrial Building is available for Sale in Tala Nagri, Aligarh for 50.0 Lac(s)   Industrial Building is available for Sale in Tala Nagri, Aligarh for 50.0 Lac(s)"
medium,"It is a 200 sqm factory in talanagari with 2 floor 2 bhk build up on first floor and a hall with pri   Industrial Building is available for Sale in Tala Nagri, Aligarh for 74.0 Lac(s)"
low,"  Industrial Building is available for Sale in Katra, Allahabad for 20.0 Crore(s)   Industrial Building is available for Sale in Katra, Allahabad for 20.0 Crore(s)"
medium,"Industrial Building For Sale in MIA, Alwar, offering a spacious super built-up area of 1000 sqm, ide   Industrial Building is available for Sale in MIA, Alwar for 1.3 Crore(s)"
medium,"  Industrial Building is available for Sale in MIA, Alwar for 3.5 Crore(s)   Industrial Building is available for Sale in MIA, Alwar for 3.5 Crore(s)"
low,"  Industrial Building is available for Sale in Majitha Road, Amritsar for 18.0 Crore(s)   Industrial Building is available for Sale in Majitha Road, Amritsar for 18.0 Crore(s)"
medium,"  Industrial Building is available for Sale in Khand Wala, Amritsar for 2.0 Crore(s)   Industrial Building is available for Sale in Khand Wala, Amritsar for 2.0 Crore(s)"
