cScore,merged_col
medium,"Nestled in the heart of Agra, Sanjay Place offers prime office spaces for sale, ideal for businesses   Commercial Office Space is available for Sale in Sanjay Place, Agra for 73.0 Lac(s)"
high,"prime location commercial space at Jeoni Mandi Agra 350 Sq-ft Commercial Office Space is available for Sale in Jeoni Mandi, Agra for 28.0 Lac(s)"
medium,"This is the Best building of Sanjay Place 400 Sq-ft Commercial Office Space is available for Sale in Sanjay Place, Agra for 50.0 Lac(s)"
medium,"  Commercial Office Space is available for Sale in , Agra for 55.0 Lac(s)   Commercial Office Space is available for Sale in , Agra for 55.0 Lac(s)"
low,"  Commercial Office Space is available for Sale in Jeoni Mandi, Agra for 16.85 Lac(s)   Commercial Office Space is available for Sale in Jeoni Mandi, Agra for 16.85 Lac(s)"
medium,"  Commercial Office Space is available for Sale in Kargil Petrol Pump, Agra for 85.0 Lac(s)   Commercial Office Space is available for Sale in Kargil Petrol Pump, Agra for 85.0 Lac(s)"
medium,"  Commercial Office Space is available for Sale in Fatehabad Road, Agra for 9.0 Crore(s)   Commercial Office Space is available for Sale in Fatehabad Road, Agra for 9.0 Crore(s)"
medium,"  Commercial Office Space is available for Sale in Sanjay Place, Agra for 99.0 Lac(s)   Commercial Office Space is available for Sale in Sanjay Place, Agra for 99.0 Lac(s)"
medium,"It offers a modern and friendly working environment. Every detail is carefully selected and crafted    Commercial Office Space is available for Sale in Phase 2 Taj Nagri, Agra for 3.7 Crore(s)"
low,"  Commercial Office Space is available for Sale in , Agra for 55.0 Lac(s)   Commercial Office Space is available for Sale in , Agra for 55.0 Lac(s)"
low,"  Commercial Office Space is available for Sale in Dayal Bagh, Agra for 6.98 Lac(s)   Commercial Office Space is available for Sale in Dayal Bagh, Agra for 6.98 Lac(s)"
low,"  Commercial Office Space is available for Sale in Sultanganj, Agra for 17.0 Lac(s)   Commercial Office Space is available for Sale in Sultanganj, Agra for 17.0 Lac(s)"
low," It's a 3rd floor Commercial Office Space in a building of total 3 floors. This Commercial Office Sp   Commercial Office Space is available for Sale in Sikandra Bodla Road, Agra for 2.0 Crore(s)"
medium,"Commercial office space is available for sale. It carpet area of 386 sq-ft, it is a good location pr   Commercial Office Space is available for Sale in Sanjay Place, Agra for 38.0 Lac(s)"
medium," This spacious Commercial Office Space is located at 1st floor in a tower of total 3 floors. It is a   Commercial Office Space is available for Sale in Fatehabad Road, Agra for 35.0 Lac(s)"
medium,"  Commercial Office Space is available for Sale in Kamla nagar, Agra for 30.0 Lac(s)   Commercial Office Space is available for Sale in Kamla nagar, Agra for 30.0 Lac(s)"
